2020-04-08 15:03:39, 	Kraken      , 	Binance     , 	ETC/BTC, 	0.000774, 	348.18, 	0.0007705, 	129.85, 	0.454250%, 	0.360000%, 	0.094250%
2020-04-08 15:03:54, 	Kraken      , 	Binance     , 	ETC/BTC, 	0.000774, 	0.78, 	0.0007699, 	45.76, 	0.532537%, 	0.360000%, 	0.172537%
2020-04-08 15:04:09, 	Kraken      , 	Binance     , 	ETC/BTC, 	0.000774, 	15.27, 	0.0007702, 	16.26, 	0.493378%, 	0.360000%, 	0.133378%
2020-04-08 15:04:24, 	Kraken      , 	Binance     , 	ETC/BTC, 	0.000774, 	51.14, 	0.0007696, 	40.43, 	0.571726%, 	0.360000%, 	0.211726%
2020-04-08 15:04:39, 	Kraken      , 	Binance     , 	ETC/BTC, 	0.000774, 	10.91, 	0.0007687, 	83.2, 	0.689476%, 	0.360000%, 	0.329476%
2020-04-08 15:04:54, 	Kraken      , 	Binance     , 	ETC/BTC, 	0.000773, 	9.98, 	0.0007687, 	70.42, 	0.559386%, 	0.360000%, 	0.199386%
2020-04-08 15:05:09, 	Kraken      , 	Binance     , 	ETC/BTC, 	0.000773, 	2.14, 	0.0007687, 	82.1, 	0.559386%, 	0.360000%, 	0.199386%
2020-04-08 15:05:24, 	Kraken      , 	Binance     , 	ETC/BTC, 	0.000773, 	10.44, 	0.0007697, 	50.13, 	0.428738%, 	0.360000%, 	0.068738%
2020-04-08 15:05:39, 	Kraken      , 	Binance     , 	ETC/BTC, 	0.000773, 	399.17, 	0.0007698, 	300.0, 	0.415692%, 	0.360000%, 	0.055692%
2020-04-08 15:05:54, 	Kraken      , 	Binance     , 	ETC/BTC, 	0.000773, 	41.55, 	0.0007702, 	58.25, 	0.363542%, 	0.360000%, 	0.003542%
2020-04-08 15:06:09, 	Kraken      , 	Binance     , 	ETC/BTC, 	0.000773, 	25.0, 	0.0007703, 	108.15, 	0.350513%, 	0.360000%, 	-0.009487%
2020-04-08 15:08:48, 	Kraken      , 	Binance     , 	ETC/BTC, 	0.000773, 	13.25, 	0.0007688, 	6.3, 	0.546306%, 	0.360000%, 	0.186306%
2020-04-08 15:09:03, 	Kraken      , 	Binance     , 	ETC/BTC, 	0.000773, 	6.95, 	0.0007691, 	127.31, 	0.507086%, 	0.360000%, 	0.147086%
2020-04-08 15:09:18, 	Kraken      , 	Binance     , 	ETC/BTC, 	0.000773, 	0.14, 	0.0007687, 	22.0, 	0.559386%, 	0.360000%, 	0.199386%
2020-04-08 15:09:33, 	Kraken      , 	Binance     , 	ETC/BTC, 	0.000773, 	0.14, 	0.0007686, 	57.72, 	0.572469%, 	0.360000%, 	0.212469%
2020-04-08 15:09:48, 	Kraken      , 	Binance     , 	ETC/BTC, 	0.000772, 	0.14, 	0.0007686, 	56.9, 	0.442363%, 	0.360000%, 	0.082363%
2020-04-08 15:10:03, 	Kraken      , 	Binance     , 	ETC/BTC, 	0.000772, 	151.67, 	0.0007685, 	9.99, 	0.455433%, 	0.360000%, 	0.095433%
2020-04-08 15:10:18, 	Kraken      , 	Binance     , 	ETC/BTC, 	0.000772, 	90.08, 	0.0007686, 	108.0, 	0.442363%, 	0.360000%, 	0.082363%
2020-04-08 15:10:33, 	Kraken      , 	Binance     , 	ETC/BTC, 	0.000772, 	1120.34, 	0.0007688, 	48.34, 	0.416233%, 	0.360000%, 	0.056233%
2020-04-08 15:10:48, 	Kraken      , 	Binance     , 	ETC/BTC, 	0.000772, 	43.84, 	0.0007694, 	6.3, 	0.337926%, 	0.360000%, 	-0.022074%
