2020-04-08 17:14:42, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034157, 	0.351, 	0.033962, 	5.54, 	0.574171%, 	0.360000%, 	0.214171%
2020-04-08 17:14:57, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034157, 	0.351, 	0.033952, 	126.78, 	0.603794%, 	0.360000%, 	0.243794%
2020-04-08 17:15:12, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034157, 	0.351, 	0.033949, 	5.53, 	0.612684%, 	0.360000%, 	0.252684%
2020-04-08 17:15:27, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034157, 	0.351, 	0.033982, 	63.85, 	0.514979%, 	0.360000%, 	0.154979%
2020-04-08 17:15:42, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034157, 	0.351, 	0.033997, 	63.52, 	0.470630%, 	0.360000%, 	0.110630%
2020-04-08 17:15:57, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034157, 	0.351, 	0.033989, 	5.52, 	0.494278%, 	0.360000%, 	0.134278%
2020-04-08 17:16:12, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034157, 	0.351, 	0.033989, 	0.3, 	0.494278%, 	0.360000%, 	0.134278%
2020-04-08 17:16:27, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034157, 	0.351, 	0.034016, 	5.52, 	0.414511%, 	0.360000%, 	0.054511%
2020-04-08 17:16:42, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034157, 	0.351, 	0.034054, 	5.5, 	0.302461%, 	0.360000%, 	-0.057539%
2020-04-08 17:25:50, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034157, 	0.351, 	0.033972, 	5.51, 	0.544566%, 	0.360000%, 	0.184566%
2020-04-08 17:26:05, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034157, 	0.351, 	0.033988, 	65.27, 	0.497234%, 	0.360000%, 	0.137234%
2020-04-08 17:26:20, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034157, 	0.351, 	0.033989, 	23.48, 	0.494278%, 	0.360000%, 	0.134278%
