2020-04-09 13:13:17, 	Kraken      , 	Binance     , 	NANO/BTC, 	8.0669e-05, 	75.017, 	8.03e-05, 	1746.1, 	0.459527%, 	0.360000%, 	0.099527%
2020-04-09 13:13:32, 	Kraken      , 	Binance     , 	NANO/BTC, 	8.0669e-05, 	75.017, 	8.03e-05, 	1746.1, 	0.459527%, 	0.360000%, 	0.099527%
2020-04-09 13:13:47, 	Kraken      , 	Binance     , 	NANO/BTC, 	8.0669e-05, 	75.017, 	8.03e-05, 	1746.1, 	0.459527%, 	0.360000%, 	0.099527%
2020-04-09 13:14:02, 	Kraken      , 	Binance     , 	NANO/BTC, 	8.0669e-05, 	75.017, 	8.03e-05, 	1746.1, 	0.459527%, 	0.360000%, 	0.099527%
2020-04-09 13:14:17, 	Kraken      , 	Binance     , 	NANO/BTC, 	8.0669e-05, 	75.017, 	8.03e-05, 	1746.1, 	0.459527%, 	0.360000%, 	0.099527%
2020-04-09 13:14:32, 	Kraken      , 	Binance     , 	NANO/BTC, 	8.0669e-05, 	75.017, 	8.03e-05, 	86.67, 	0.459527%, 	0.360000%, 	0.099527%
2020-04-09 13:14:47, 	Kraken      , 	Binance     , 	NANO/BTC, 	8.0669e-05, 	75.017, 	8.03e-05, 	86.59, 	0.459527%, 	0.360000%, 	0.099527%
2020-04-09 13:15:02, 	Kraken      , 	Binance     , 	NANO/BTC, 	8.0669e-05, 	75.017, 	8.04e-05, 	2365.91, 	0.334577%, 	0.360000%, 	-0.025423%
2020-04-10 06:58:08, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.89e-05, 	209.83, 	0.626109%, 	0.360000%, 	0.266109%
2020-04-10 06:58:23, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.89e-05, 	209.83, 	0.626109%, 	0.360000%, 	0.266109%
2020-04-10 06:58:38, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.89e-05, 	209.83, 	0.626109%, 	0.360000%, 	0.266109%
2020-04-10 06:58:53, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.89e-05, 	209.83, 	0.626109%, 	0.360000%, 	0.266109%
2020-04-10 06:59:08, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.89e-05, 	209.83, 	0.626109%, 	0.360000%, 	0.266109%
2020-04-10 06:59:23, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.89e-05, 	209.83, 	0.626109%, 	0.360000%, 	0.266109%
2020-04-10 06:59:38, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.89e-05, 	209.83, 	0.626109%, 	0.360000%, 	0.266109%
2020-04-10 06:59:53, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.89e-05, 	209.83, 	0.626109%, 	0.360000%, 	0.266109%
2020-04-10 07:00:08, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.89e-05, 	43.92, 	0.626109%, 	0.360000%, 	0.266109%
2020-04-10 07:00:23, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.9e-05, 	692.86, 	0.498734%, 	0.360000%, 	0.138734%
