2020-04-10 05:18:57, 	Kraken      , 	Binance     , 	XMR/BTC, 	0.007957, 	0.074, 	0.007913, 	0.904, 	0.556047%, 	0.360000%, 	0.196047%
2020-04-10 05:19:12, 	Kraken      , 	Binance     , 	XMR/BTC, 	0.007957, 	0.074, 	0.007913, 	2.677, 	0.556047%, 	0.360000%, 	0.196047%
2020-04-10 05:19:27, 	Kraken      , 	Binance     , 	XMR/BTC, 	0.007957, 	0.074, 	0.00793, 	7.0, 	0.340479%, 	0.360000%, 	-0.019521%
2020-04-10 08:09:16, 	Kraken      , 	Binance     , 	XMR/BTC, 	0.008016, 	38.5, 	0.007979, 	0.355, 	0.463717%, 	0.360000%, 	0.103717%
2020-04-10 08:09:31, 	Kraken      , 	Binance     , 	XMR/BTC, 	0.008016, 	38.5, 	0.007984, 	1.22, 	0.400802%, 	0.360000%, 	0.040802%
2020-04-10 08:09:46, 	Kraken      , 	Binance     , 	XMR/BTC, 	0.008016, 	38.5, 	0.007985, 	1.22, 	0.388228%, 	0.360000%, 	0.028228%
2020-04-10 08:10:01, 	Kraken      , 	Binance     , 	XMR/BTC, 	0.008016, 	38.5, 	0.007985, 	2.72, 	0.388228%, 	0.360000%, 	0.028228%
2020-04-10 08:10:16, 	Kraken      , 	Binance     , 	XMR/BTC, 	0.008016, 	38.5, 	0.007985, 	2.72, 	0.388228%, 	0.360000%, 	0.028228%
2020-04-10 08:10:31, 	Kraken      , 	Binance     , 	XMR/BTC, 	0.008016, 	38.5, 	0.007985, 	0.699, 	0.388228%, 	0.360000%, 	0.028228%
2020-04-10 08:10:46, 	Kraken      , 	Binance     , 	XMR/BTC, 	0.008012, 	30.0, 	0.007981, 	3.48, 	0.388423%, 	0.360000%, 	0.028423%
2020-04-10 08:11:01, 	Kraken      , 	Binance     , 	XMR/BTC, 	0.008012, 	27.07, 	0.007979, 	0.197, 	0.413586%, 	0.360000%, 	0.053586%
2020-04-10 08:11:16, 	Kraken      , 	Binance     , 	XMR/BTC, 	0.008013, 	30.0, 	0.007986, 	0.819, 	0.338092%, 	0.360000%, 	-0.021908%
