2020-04-09 13:08:50, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	135.82, 	6.06, 	135.19, 	22.14932342, 	0.466011%, 	0.460000%, 	0.006011%
2020-04-09 13:09:05, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	135.88, 	0.838, 	135.17, 	5.0, 	0.525264%, 	0.460000%, 	0.065264%
2020-04-09 13:09:20, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	135.93, 	6.06, 	135.22, 	0.87355358, 	0.525070%, 	0.460000%, 	0.065070%
2020-04-09 13:09:35, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	135.94, 	0.838, 	135.23, 	19.30571905, 	0.525031%, 	0.460000%, 	0.065031%
2020-04-09 13:09:50, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	135.9, 	6.06, 	135.31, 	25.61541105, 	0.436036%, 	0.460000%, 	-0.023964%
2020-04-10 13:14:09, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.83, 	63.606, 	127.16, 	30.9584, 	0.526895%, 	0.460000%, 	0.066895%
2020-04-10 13:14:24, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.84, 	6.06, 	127.16, 	30.9584, 	0.534759%, 	0.460000%, 	0.074759%
2020-04-10 13:14:39, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.83, 	63.606, 	127.16, 	31.48635146, 	0.526895%, 	0.460000%, 	0.066895%
2020-04-10 13:14:54, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.84, 	6.06, 	127.16, 	27.9584, 	0.534759%, 	0.460000%, 	0.074759%
2020-04-10 13:15:09, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.77, 	6.06, 	127.16, 	2.0224, 	0.479711%, 	0.460000%, 	0.019711%
2020-04-10 13:15:24, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.77, 	6.06, 	127.16, 	7.82517484, 	0.479711%, 	0.460000%, 	0.019711%
2020-04-10 13:15:39, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.91, 	6.06, 	127.3, 	1.09549159, 	0.479183%, 	0.460000%, 	0.019183%
2020-04-10 13:15:54, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.83, 	63.684, 	127.17, 	31.0441, 	0.518990%, 	0.460000%, 	0.058990%
2020-04-10 13:16:09, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.84, 	6.06, 	127.26, 	31.0001, 	0.455760%, 	0.460000%, 	-0.004240%
2020-04-10 13:59:37, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.83, 	6.06, 	127.16, 	30.8344, 	0.526895%, 	0.460000%, 	0.066895%
2020-04-10 13:59:52, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.96, 	6.06, 	127.28, 	16.0, 	0.534255%, 	0.460000%, 	0.074255%
2020-04-10 14:00:07, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.96, 	6.06, 	127.35, 	0.2, 	0.478995%, 	0.460000%, 	0.018995%
2020-04-10 14:00:22, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.96, 	6.06, 	127.26, 	655.0, 	0.550055%, 	0.460000%, 	0.090055%
2020-04-10 14:00:37, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.96, 	6.06, 	127.25, 	2.0, 	0.557957%, 	0.460000%, 	0.097957%
2020-04-10 14:00:52, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.96, 	6.06, 	127.26, 	2.249886, 	0.550055%, 	0.460000%, 	0.090055%
2020-04-10 14:01:07, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.96, 	6.06, 	127.24, 	0.66750372, 	0.565860%, 	0.460000%, 	0.105860%
2020-04-10 14:01:22, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.84, 	1.168, 	127.23, 	0.81519448, 	0.479447%, 	0.460000%, 	0.019447%
2020-04-10 14:01:37, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.85, 	6.06, 	127.21, 	58.98999746, 	0.503105%, 	0.460000%, 	0.043105%
2020-04-10 14:01:52, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.83, 	6.06, 	127.21, 	42.89005368, 	0.487383%, 	0.460000%, 	0.027383%
2020-04-10 14:02:07, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.83, 	6.06, 	127.21, 	42.89005368, 	0.487383%, 	0.460000%, 	0.027383%
2020-04-10 14:02:22, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.83, 	6.06, 	127.21, 	28.89005368, 	0.487383%, 	0.460000%, 	0.027383%
2020-04-10 14:02:37, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.83, 	6.06, 	127.21, 	27.62052914, 	0.487383%, 	0.460000%, 	0.027383%
2020-04-10 14:03:51, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.83, 	6.06, 	127.23, 	3.81533495, 	0.471587%, 	0.460000%, 	0.011587%
2020-04-10 14:04:06, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.83, 	6.06, 	127.22, 	157.75348533, 	0.479484%, 	0.460000%, 	0.019484%
2020-04-10 14:04:21, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.83, 	6.06, 	127.21, 	16.81547546, 	0.487383%, 	0.460000%, 	0.027383%
2020-04-10 14:04:36, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.83, 	6.06, 	127.21, 	16.81547546, 	0.487383%, 	0.460000%, 	0.027383%
2020-04-10 14:04:51, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.69, 	6.06, 	127.1, 	355.03806608, 	0.464201%, 	0.460000%, 	0.004201%
2020-04-10 14:05:06, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.63, 	1.17, 	126.96, 	2.0, 	0.527725%, 	0.460000%, 	0.067725%
2020-04-10 14:05:21, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.64, 	6.06, 	126.94, 	0.76722184, 	0.551442%, 	0.460000%, 	0.091442%
2020-04-10 14:05:36, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.64, 	6.06, 	126.96, 	31.27645384, 	0.535602%, 	0.460000%, 	0.075602%
2020-04-10 14:05:51, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.64, 	6.06, 	127.01, 	1.9, 	0.496024%, 	0.460000%, 	0.036024%
