2020-04-08 18:26:58, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.0008, 	28.361, 	0.00079431, 	101.097, 	0.716345%, 	0.510000%, 	0.206345%
2020-04-08 18:27:13, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.0008, 	28.361, 	0.00079384, 	101.185, 	0.775975%, 	0.510000%, 	0.265975%
2020-04-08 18:27:28, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.0008, 	28.361, 	0.00079378, 	101.202, 	0.783592%, 	0.510000%, 	0.273592%
2020-04-08 18:27:43, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.0008, 	28.361, 	0.00079369, 	36.910756, 	0.795021%, 	0.510000%, 	0.285021%
2020-04-08 18:27:58, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.0008, 	28.361, 	0.00079365, 	101.191, 	0.800101%, 	0.510000%, 	0.290101%
2020-04-08 18:28:13, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.0008, 	28.361, 	0.00079359, 	101.198, 	0.807722%, 	0.510000%, 	0.297722%
2020-04-08 18:28:28, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.0008, 	0.961, 	0.00079335, 	101.367, 	0.838218%, 	0.510000%, 	0.328218%
2020-04-08 18:28:43, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.0008, 	0.961, 	0.00079334, 	101.371, 	0.839489%, 	0.510000%, 	0.329489%
2020-04-08 18:28:58, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.0008, 	22.261, 	0.00079334, 	101.371, 	0.839489%, 	0.510000%, 	0.329489%
2020-04-08 18:29:13, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.000801, 	58.391, 	0.00079334, 	101.371, 	0.965538%, 	0.510000%, 	0.455538%
2020-04-08 18:29:28, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.000801, 	58.391, 	0.00079366, 	101.23, 	0.924829%, 	0.510000%, 	0.414829%
2020-04-08 18:29:43, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.000801, 	76.891, 	0.00079444, 	101.222, 	0.825739%, 	0.510000%, 	0.315739%
2020-04-08 18:29:58, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.000801, 	87.391, 	0.00079439, 	320.007524, 	0.832085%, 	0.510000%, 	0.322085%
2020-04-08 18:30:13, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.000801, 	87.391, 	0.00079434, 	101.347, 	0.838432%, 	0.510000%, 	0.328432%
2020-04-08 18:30:28, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.000801, 	87.391, 	0.00079485, 	101.236, 	0.773731%, 	0.510000%, 	0.263731%
