2020-04-08 19:18:42, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034159, 	59.092, 	0.03394819, 	43.195, 	0.620976%, 	0.510000%, 	0.110976%
2020-04-08 19:18:57, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034169, 	59.074, 	0.03394819, 	43.195, 	0.650432%, 	0.510000%, 	0.140432%
2020-04-08 19:19:12, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034177, 	59.06, 	0.03394819, 	43.195, 	0.673998%, 	0.510000%, 	0.163998%
2020-04-08 19:19:27, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034179, 	59.057, 	0.03394819, 	43.195, 	0.679889%, 	0.510000%, 	0.169889%
2020-04-08 19:19:42, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034181, 	59.053, 	0.03394819, 	43.195, 	0.685780%, 	0.510000%, 	0.175780%
2020-04-08 19:19:57, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034179, 	59.057, 	0.03397405, 	273.41250096, 	0.603255%, 	0.510000%, 	0.093255%
2020-04-08 19:20:12, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034182, 	1.951, 	0.03397398, 	214.36819051, 	0.612292%, 	0.510000%, 	0.102292%
2020-04-08 19:20:27, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034183, 	59.05, 	0.03397391, 	101.583, 	0.615443%, 	0.510000%, 	0.105443%
2020-04-08 19:20:42, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034158, 	1.952, 	0.03397378, 	261.21311074, 	0.542242%, 	0.510000%, 	0.032242%
2020-04-08 19:20:57, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034159, 	59.092, 	0.03397362, 	364.68811074, 	0.545659%, 	0.510000%, 	0.035659%
2020-04-08 19:21:12, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034175, 	59.064, 	0.03397356, 	317.92751074, 	0.592932%, 	0.510000%, 	0.082932%
2020-04-08 19:21:27, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034175, 	59.064, 	0.03397338, 	214.33903937, 	0.593465%, 	0.510000%, 	0.083465%
2020-04-08 19:21:42, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034177, 	59.06, 	0.03397328, 	306.30993937, 	0.599648%, 	0.510000%, 	0.089648%
2020-04-08 19:21:58, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034179, 	59.057, 	0.03397306, 	452.82426968, 	0.606186%, 	0.510000%, 	0.096186%
2020-04-08 19:22:13, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034179, 	59.057, 	0.03395073, 	401.57299111, 	0.672357%, 	0.510000%, 	0.162357%
2020-04-08 19:22:28, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034179, 	59.057, 	0.03395063, 	365.67929111, 	0.672653%, 	0.510000%, 	0.162653%
2020-04-08 19:22:43, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034183, 	59.05, 	0.03397407, 	43.197, 	0.614969%, 	0.510000%, 	0.104969%
2020-04-08 19:22:58, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034184, 	1.95, 	0.03397394, 	245.85609845, 	0.618297%, 	0.510000%, 	0.108297%
2020-04-08 19:23:13, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034184, 	1.95, 	0.03397372, 	531.6628612, 	0.618949%, 	0.510000%, 	0.108949%
2020-04-08 19:23:28, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034184, 	1.95, 	0.03397347, 	151.76470588, 	0.619689%, 	0.510000%, 	0.109689%
2020-04-08 19:23:43, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034184, 	1.95, 	0.03397321, 	151.76470588, 	0.620459%, 	0.510000%, 	0.110459%
