2020-04-10 10:09:22, 	Kraken      , 	Bittrex     , 	GNO/ETH, 	0.0785, 	29.326, 	0.07670002, 	1.1916947, 	2.346779%, 	0.510000%, 	1.836779%
2020-04-10 10:09:37, 	Kraken      , 	Bittrex     , 	GNO/ETH, 	0.0785, 	29.326, 	0.07670002, 	1.1916947, 	2.346779%, 	0.510000%, 	1.836779%
2020-04-10 10:09:52, 	Kraken      , 	Bittrex     , 	GNO/ETH, 	0.0785, 	29.326, 	0.07670002, 	1.1916947, 	2.346779%, 	0.510000%, 	1.836779%
2020-04-10 10:10:07, 	Kraken      , 	Bittrex     , 	GNO/ETH, 	0.0785, 	29.326, 	0.07670002, 	1.1916947, 	2.346779%, 	0.510000%, 	1.836779%
2020-04-10 10:10:22, 	Kraken      , 	Bittrex     , 	GNO/ETH, 	0.0785, 	29.326, 	0.07670002, 	1.1916947, 	2.346779%, 	0.510000%, 	1.836779%
2020-04-10 10:10:37, 	Kraken      , 	Bittrex     , 	GNO/ETH, 	0.0785, 	29.326, 	0.07670002, 	1.1916947, 	2.346779%, 	0.510000%, 	1.836779%
2020-04-10 10:10:52, 	Kraken      , 	Bittrex     , 	GNO/ETH, 	0.0785, 	29.326, 	0.07664385, 	4.00963102, 	2.421786%, 	0.510000%, 	1.911786%
2020-04-10 10:11:07, 	Kraken      , 	Bittrex     , 	GNO/ETH, 	0.0785, 	29.326, 	0.07710508, 	4.00963102, 	1.809116%, 	0.510000%, 	1.299116%
2020-04-10 10:11:22, 	Kraken      , 	Bittrex     , 	GNO/ETH, 	0.0785, 	29.326, 	0.07710508, 	4.00963102, 	1.809116%, 	0.510000%, 	1.299116%
2020-04-10 10:11:37, 	Kraken      , 	Bittrex     , 	GNO/ETH, 	0.0785, 	29.326, 	0.07710508, 	4.00963102, 	1.809116%, 	0.510000%, 	1.299116%
2020-04-10 10:11:52, 	Kraken      , 	Bittrex     , 	GNO/ETH, 	0.0785, 	29.326, 	0.07710508, 	4.00963102, 	1.809116%, 	0.510000%, 	1.299116%
2020-04-10 10:12:07, 	Kraken      , 	Bittrex     , 	GNO/ETH, 	0.0785, 	29.326, 	0.07710508, 	4.00963102, 	1.809116%, 	0.510000%, 	1.299116%
2020-04-10 10:12:22, 	Kraken      , 	Bittrex     , 	GNO/ETH, 	0.0785, 	29.326, 	0.07710508, 	4.00963102, 	1.809116%, 	0.510000%, 	1.299116%
2020-04-10 10:12:37, 	Kraken      , 	Bittrex     , 	GNO/ETH, 	0.0785, 	29.326, 	0.07710508, 	4.00963102, 	1.809116%, 	0.510000%, 	1.299116%
2020-04-10 10:12:52, 	Kraken      , 	Bittrex     , 	GNO/ETH, 	0.0785, 	29.326, 	0.07710508, 	4.00963102, 	1.809116%, 	0.510000%, 	1.299116%
2020-04-10 10:13:07, 	Kraken      , 	Bittrex     , 	GNO/ETH, 	0.0785, 	29.326, 	0.07710508, 	4.00963102, 	1.809116%, 	0.510000%, 	1.299116%
2020-04-10 10:13:22, 	Kraken      , 	Bittrex     , 	GNO/ETH, 	0.0785, 	29.326, 	0.07710508, 	4.00963102, 	1.809116%, 	0.510000%, 	1.299116%
2020-04-10 10:13:37, 	Kraken      , 	Bittrex     , 	GNO/ETH, 	0.0785, 	29.326, 	0.07710508, 	4.00963102, 	1.809116%, 	0.510000%, 	1.299116%
2020-04-10 10:13:52, 	Kraken      , 	Bittrex     , 	GNO/ETH, 	0.0769, 	19.434, 	0.07710509, 	3.22684594, 	-0.265988%, 	0.510000%, 	-0.775988%
