2020-04-08 18:23:07, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.432, 	631.3, 	5.387, 	65.5, 	0.835344%, 	0.760000%, 	0.075344%
2020-04-08 18:23:22, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.434, 	572.053, 	5.387, 	65.5, 	0.872471%, 	0.760000%, 	0.112471%
2020-04-08 18:23:37, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.436, 	598.0, 	5.387, 	336.5, 	0.909597%, 	0.760000%, 	0.149597%
2020-04-08 18:23:52, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.438, 	573.653, 	5.388, 	54.55879316, 	0.927988%, 	0.760000%, 	0.167988%
2020-04-08 18:24:07, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.447, 	1.4, 	5.385, 	248.789, 	1.151346%, 	0.760000%, 	0.391346%
2020-04-08 18:24:22, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.434, 	471.515, 	5.382, 	247.817, 	0.966184%, 	0.760000%, 	0.206184%
2020-04-08 18:24:37, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.429, 	471.515, 	5.378, 	65.5, 	0.948308%, 	0.760000%, 	0.188308%
2020-04-08 18:24:52, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.431, 	471.515, 	5.377, 	146.029, 	1.004277%, 	0.760000%, 	0.244277%
2020-04-08 18:25:07, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.432, 	626.2, 	5.377, 	146.029, 	1.022875%, 	0.760000%, 	0.262875%
2020-04-08 18:25:22, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.434, 	598.0, 	5.377, 	146.029, 	1.060071%, 	0.760000%, 	0.300071%
2020-04-08 18:25:37, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.428, 	632.3, 	5.377, 	146.029, 	0.948484%, 	0.760000%, 	0.188484%
2020-04-08 18:25:52, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.43, 	598.0, 	5.377, 	146.029, 	0.985680%, 	0.760000%, 	0.225680%
2020-04-08 18:26:07, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.432, 	598.0, 	5.374, 	227.803, 	1.079271%, 	0.760000%, 	0.319271%
2020-04-08 18:26:22, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.433, 	328.0, 	5.375, 	160.0, 	1.079070%, 	0.760000%, 	0.319070%
2020-04-08 18:26:37, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.418, 	620.5, 	5.374, 	53.35811184, 	0.818757%, 	0.760000%, 	0.058757%
2020-04-08 18:26:52, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.419, 	898.0, 	5.374, 	141.35811184, 	0.837365%, 	0.760000%, 	0.077365%
2020-04-08 18:27:07, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.419, 	300.0, 	5.369, 	76.36911184, 	0.931272%, 	0.760000%, 	0.171272%
2020-04-08 18:27:22, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.412, 	10.206, 	5.367, 	74.4, 	0.838457%, 	0.760000%, 	0.078457%
2020-04-08 18:27:37, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.41, 	29.1, 	5.365, 	1.90128997, 	0.838770%, 	0.760000%, 	0.078770%
2020-04-08 18:27:52, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.41, 	29.1, 	5.368, 	84.4, 	0.782414%, 	0.760000%, 	0.022414%
2020-04-08 18:28:07, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.41, 	29.1, 	5.367, 	154.4, 	0.801192%, 	0.760000%, 	0.041192%
2020-04-08 18:28:22, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.41, 	29.1, 	5.365, 	51.475, 	0.838770%, 	0.760000%, 	0.078770%
2020-04-08 18:28:37, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.41, 	29.1, 	5.355, 	84.4, 	1.027077%, 	0.760000%, 	0.267077%
2020-04-08 18:28:52, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.41, 	29.1, 	5.357, 	147.803, 	0.989360%, 	0.760000%, 	0.229360%
2020-04-08 18:29:07, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.42, 	100.0, 	5.36, 	160.0, 	1.119403%, 	0.760000%, 	0.359403%
2020-04-08 18:29:22, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.42, 	100.0, 	5.359, 	74.4, 	1.138272%, 	0.760000%, 	0.378272%
2020-04-08 18:29:37, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.42, 	118.702, 	5.361, 	74.4, 	1.100541%, 	0.760000%, 	0.340541%
2020-04-08 18:29:52, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.42, 	418.702, 	5.359, 	74.4, 	1.138272%, 	0.760000%, 	0.378272%
2020-04-08 18:30:07, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.42, 	95.402, 	5.358, 	227.803, 	1.157148%, 	0.760000%, 	0.397148%
2020-04-08 18:30:22, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.42, 	129.802, 	5.362, 	66.029, 	1.081686%, 	0.760000%, 	0.321686%
2020-04-08 18:30:37, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.42, 	129.802, 	5.367, 	74.4, 	0.987516%, 	0.760000%, 	0.227516%
2020-04-08 18:30:52, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.42, 	129.802, 	5.367, 	74.4, 	0.987516%, 	0.760000%, 	0.227516%
2020-04-08 18:31:07, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.422, 	300.0, 	5.372, 	139.13146474, 	0.930752%, 	0.760000%, 	0.170752%
2020-04-08 18:31:22, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.42, 	129.802, 	5.37, 	147.803, 	0.931099%, 	0.760000%, 	0.171099%
2020-04-08 18:31:37, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.42, 	129.802, 	5.37, 	147.803, 	0.931099%, 	0.760000%, 	0.171099%
2020-04-08 18:31:52, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.42, 	129.802, 	5.37, 	219.237463, 	0.931099%, 	0.760000%, 	0.171099%
2020-04-08 18:32:07, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.42, 	129.802, 	5.369, 	288.437, 	0.949898%, 	0.760000%, 	0.189898%
2020-04-08 18:32:22, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.42, 	129.802, 	5.364, 	147.803, 	1.043997%, 	0.760000%, 	0.283997%
2020-04-08 18:32:37, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.42, 	129.802, 	5.36, 	66.029, 	1.119403%, 	0.760000%, 	0.359403%
2020-04-08 18:32:52, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.42, 	95.402, 	5.356, 	74.4, 	1.194922%, 	0.760000%, 	0.434922%
2020-04-08 18:33:07, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.42, 	95.402, 	5.357, 	147.803, 	1.176031%, 	0.760000%, 	0.416031%
2020-04-08 18:33:22, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.42, 	95.402, 	5.356, 	74.4, 	1.194922%, 	0.760000%, 	0.434922%
2020-04-08 18:33:37, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.42, 	95.402, 	5.357, 	147.803, 	1.176031%, 	0.760000%, 	0.416031%
