2020-04-07 23:39:58, 	Kraken      , 	Coinbase Pro, 	ETH/USDC, 	166.43, 	16.694, 	164.0, 	1811.51677026, 	1.481707%, 	0.760000%, 	0.721707%
2020-04-07 23:40:28, 	Kraken      , 	Coinbase Pro, 	ETH/USDC, 	166.43, 	16.681, 	164.0, 	1638.66766609, 	1.481707%, 	0.760000%, 	0.721707%
2020-04-07 23:40:58, 	Kraken      , 	Coinbase Pro, 	ETH/USDC, 	166.53, 	16.681, 	164.0, 	1353.84708905, 	1.542683%, 	0.760000%, 	0.782683%
2020-04-07 23:41:28, 	Kraken      , 	Coinbase Pro, 	ETH/USDC, 	166.34, 	99.84, 	164.0, 	1148.66349779, 	1.426829%, 	0.760000%, 	0.666829%
2020-04-07 23:41:58, 	Kraken      , 	Coinbase Pro, 	ETH/USDC, 	166.49, 	16.747, 	164.0, 	1035.31609148, 	1.518293%, 	0.760000%, 	0.758293%
2020-04-07 23:42:28, 	Kraken      , 	Coinbase Pro, 	ETH/USDC, 	166.55, 	16.747, 	164.0, 	917.17929771, 	1.554878%, 	0.760000%, 	0.794878%
2020-04-07 23:42:58, 	Kraken      , 	Coinbase Pro, 	ETH/USDC, 	166.55, 	16.747, 	164.0, 	823.56870523, 	1.554878%, 	0.760000%, 	0.794878%
2020-04-07 23:43:28, 	Kraken      , 	Coinbase Pro, 	ETH/USDC, 	166.57, 	16.747, 	164.0, 	719.01668934, 	1.567073%, 	0.760000%, 	0.807073%
2020-04-07 23:43:58, 	Kraken      , 	Coinbase Pro, 	ETH/USDC, 	166.58, 	16.733, 	164.0, 	417.33216389, 	1.573171%, 	0.760000%, 	0.813171%
2020-04-07 23:44:28, 	Kraken      , 	Coinbase Pro, 	ETH/USDC, 	166.62, 	16.733, 	164.0, 	327.57569899, 	1.597561%, 	0.760000%, 	0.837561%
2020-04-07 23:44:58, 	Kraken      , 	Coinbase Pro, 	ETH/USDC, 	166.68, 	31.9967, 	164.0, 	101.42654756, 	1.634146%, 	0.760000%, 	0.874146%
2020-04-07 23:45:28, 	Kraken      , 	Coinbase Pro, 	ETH/USDC, 	166.54, 	47.0, 	165.36, 	121.42865, 	0.713595%, 	0.760000%, 	-0.046405%
