2020-04-08 15:08:25, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.033404, 	0.321, 	0.03321, 	68.359, 	0.584161%, 	0.410000%, 	0.174161%
2020-04-08 15:08:40, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.033404, 	0.321, 	0.03323, 	68.359, 	0.523623%, 	0.410000%, 	0.113623%
2020-04-08 15:08:55, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.033404, 	0.321, 	0.03321, 	68.359, 	0.584161%, 	0.410000%, 	0.174161%
2020-04-08 15:09:10, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.033404, 	0.321, 	0.03322, 	68.359, 	0.553883%, 	0.410000%, 	0.143883%
2020-04-08 15:09:25, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.033404, 	0.321, 	0.03322, 	68.359, 	0.553883%, 	0.410000%, 	0.143883%
2020-04-08 15:09:40, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.033404, 	0.321, 	0.03322, 	68.359, 	0.553883%, 	0.410000%, 	0.143883%
2020-04-08 15:09:55, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.033404, 	0.321, 	0.03318, 	68.359, 	0.675105%, 	0.410000%, 	0.265105%
2020-04-08 15:10:10, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.033404, 	0.321, 	0.03318, 	68.359, 	0.675105%, 	0.410000%, 	0.265105%
2020-04-08 15:10:25, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.033404, 	0.321, 	0.03317, 	68.359, 	0.705457%, 	0.410000%, 	0.295457%
2020-04-08 15:10:40, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.033404, 	0.321, 	0.03317, 	68.359, 	0.705457%, 	0.410000%, 	0.295457%
2020-04-08 15:10:55, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.033404, 	0.321, 	0.03319, 	68.359, 	0.644773%, 	0.410000%, 	0.234773%
2020-04-08 15:11:10, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.033404, 	0.321, 	0.03318, 	68.359, 	0.675105%, 	0.410000%, 	0.265105%
2020-04-08 15:11:25, 	Kraken      , 	OKEX        , 	ETC/ETH, 	0.033176, 	61.776, 	0.03317, 	68.359, 	0.018089%, 	0.410000%, 	-0.391911%
