2020-04-10 02:12:22, 	OKEX        , 	Binance     , 	CVC/USDT, 	0.0215, 	51.642, 	0.02142, 	5600.2, 	0.373483%, 	0.250000%, 	0.123483%
2020-04-10 02:12:37, 	OKEX        , 	Binance     , 	CVC/USDT, 	0.0215, 	51.642, 	0.02142, 	5600.2, 	0.373483%, 	0.250000%, 	0.123483%
2020-04-10 02:12:52, 	OKEX        , 	Binance     , 	CVC/USDT, 	0.0215, 	51.642, 	0.02142, 	5600.2, 	0.373483%, 	0.250000%, 	0.123483%
2020-04-10 02:13:07, 	OKEX        , 	Binance     , 	CVC/USDT, 	0.0215, 	51.642, 	0.02142, 	5600.2, 	0.373483%, 	0.250000%, 	0.123483%
2020-04-10 02:13:22, 	OKEX        , 	Binance     , 	CVC/USDT, 	0.0215, 	51.642, 	0.02142, 	5600.2, 	0.373483%, 	0.250000%, 	0.123483%
2020-04-10 02:13:37, 	OKEX        , 	Binance     , 	CVC/USDT, 	0.0215, 	51.642, 	0.02142, 	5600.2, 	0.373483%, 	0.250000%, 	0.123483%
2020-04-10 02:13:52, 	OKEX        , 	Binance     , 	CVC/USDT, 	0.0215, 	51.642, 	0.02142, 	5600.2, 	0.373483%, 	0.250000%, 	0.123483%
2020-04-10 02:14:07, 	OKEX        , 	Binance     , 	CVC/USDT, 	0.0215, 	51.642, 	0.02142, 	5600.2, 	0.373483%, 	0.250000%, 	0.123483%
2020-04-10 02:14:22, 	OKEX        , 	Binance     , 	CVC/USDT, 	0.0215, 	51.642, 	0.02142, 	5600.2, 	0.373483%, 	0.250000%, 	0.123483%
2020-04-10 02:14:37, 	OKEX        , 	Binance     , 	CVC/USDT, 	0.0215, 	23.866, 	0.02142, 	5600.2, 	0.373483%, 	0.250000%, 	0.123483%
2020-04-10 02:14:52, 	OKEX        , 	Binance     , 	CVC/USDT, 	0.0215, 	23.866, 	0.02142, 	5600.2, 	0.373483%, 	0.250000%, 	0.123483%
2020-04-10 02:15:07, 	OKEX        , 	Binance     , 	CVC/USDT, 	0.0215, 	23.866, 	0.02142, 	5600.2, 	0.373483%, 	0.250000%, 	0.123483%
2020-04-10 02:15:22, 	OKEX        , 	Binance     , 	CVC/USDT, 	0.0215, 	23.866, 	0.02142, 	5600.2, 	0.373483%, 	0.250000%, 	0.123483%
2020-04-10 02:15:37, 	OKEX        , 	Binance     , 	CVC/USDT, 	0.0215, 	52.953, 	0.02142, 	5600.2, 	0.373483%, 	0.250000%, 	0.123483%
2020-04-10 02:15:52, 	OKEX        , 	Binance     , 	CVC/USDT, 	0.0215, 	52.953, 	0.02142, 	5600.2, 	0.373483%, 	0.250000%, 	0.123483%
2020-04-10 02:16:07, 	OKEX        , 	Binance     , 	CVC/USDT, 	0.0215, 	52.953, 	0.02142, 	5600.2, 	0.373483%, 	0.250000%, 	0.123483%
2020-04-10 02:16:22, 	OKEX        , 	Binance     , 	CVC/USDT, 	0.0215, 	52.953, 	0.02142, 	5600.2, 	0.373483%, 	0.250000%, 	0.123483%
2020-04-10 02:16:37, 	OKEX        , 	Binance     , 	CVC/USDT, 	0.0215, 	52.953, 	0.02142, 	5600.2, 	0.373483%, 	0.250000%, 	0.123483%
2020-04-10 02:16:52, 	OKEX        , 	Binance     , 	CVC/USDT, 	0.0215, 	52.953, 	0.02142, 	5600.2, 	0.373483%, 	0.250000%, 	0.123483%
2020-04-10 02:17:07, 	OKEX        , 	Binance     , 	CVC/USDT, 	0.0213, 	65.394, 	0.02142, 	5600.2, 	-0.560224%, 	0.250000%, 	-0.810224%
