2020-04-08 21:37:02, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00348, 	249670.0, 	0.574713%, 	0.250000%, 	0.324713%
2020-04-08 21:37:17, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00348, 	249670.0, 	0.574713%, 	0.250000%, 	0.324713%
2020-04-08 21:37:32, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00348, 	249670.0, 	0.574713%, 	0.250000%, 	0.324713%
2020-04-08 21:37:47, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00348, 	249670.0, 	0.574713%, 	0.250000%, 	0.324713%
2020-04-08 21:38:02, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00348, 	249670.0, 	0.574713%, 	0.250000%, 	0.324713%
2020-04-08 21:38:17, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00348, 	249670.0, 	0.574713%, 	0.250000%, 	0.324713%
2020-04-08 21:38:32, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00348, 	249670.0, 	0.574713%, 	0.250000%, 	0.324713%
2020-04-08 21:38:47, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00348, 	249670.0, 	0.574713%, 	0.250000%, 	0.324713%
2020-04-08 21:39:02, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00348, 	249670.0, 	0.574713%, 	0.250000%, 	0.324713%
2020-04-08 21:39:17, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00348, 	249670.0, 	0.574713%, 	0.250000%, 	0.324713%
2020-04-08 21:39:32, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00348, 	249670.0, 	0.574713%, 	0.250000%, 	0.324713%
2020-04-08 21:39:47, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00348, 	249670.0, 	0.574713%, 	0.250000%, 	0.324713%
2020-04-08 21:40:02, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00348, 	249670.0, 	0.574713%, 	0.250000%, 	0.324713%
2020-04-08 21:40:17, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00348, 	249670.0, 	0.574713%, 	0.250000%, 	0.324713%
2020-04-08 21:40:32, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00348, 	249670.0, 	0.574713%, 	0.250000%, 	0.324713%
2020-04-08 21:40:47, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00348, 	249670.0, 	0.574713%, 	0.250000%, 	0.324713%
2020-04-08 21:41:02, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00348, 	249670.0, 	0.574713%, 	0.250000%, 	0.324713%
2020-04-08 21:41:17, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00348, 	249670.0, 	0.574713%, 	0.250000%, 	0.324713%
2020-04-08 21:41:32, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00348, 	249670.0, 	0.574713%, 	0.250000%, 	0.324713%
2020-04-08 21:41:47, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00348, 	249670.0, 	0.574713%, 	0.250000%, 	0.324713%
2020-04-08 21:42:02, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00348, 	249670.0, 	0.574713%, 	0.250000%, 	0.324713%
2020-04-08 21:42:17, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00348, 	249670.0, 	0.574713%, 	0.250000%, 	0.324713%
2020-04-08 21:42:32, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00348, 	249670.0, 	0.574713%, 	0.250000%, 	0.324713%
2020-04-08 21:42:47, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00348, 	249670.0, 	0.574713%, 	0.250000%, 	0.324713%
2020-04-08 21:43:02, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00348, 	249670.0, 	0.574713%, 	0.250000%, 	0.324713%
2020-04-08 21:43:17, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00348, 	249670.0, 	0.574713%, 	0.250000%, 	0.324713%
