2020-04-10 08:01:41, 	OKEX        , 	Binance     , 	ICX/USDT, 	0.2377, 	1.4512, 	0.237, 	1263.31, 	0.295359%, 	0.250000%, 	0.045359%
2020-04-10 08:01:56, 	OKEX        , 	Binance     , 	ICX/USDT, 	0.2377, 	1.4512, 	0.237, 	10311.38, 	0.295359%, 	0.250000%, 	0.045359%
2020-04-10 08:02:11, 	OKEX        , 	Binance     , 	ICX/USDT, 	0.2377, 	1.4512, 	0.237, 	400.85, 	0.295359%, 	0.250000%, 	0.045359%
2020-04-10 08:02:26, 	OKEX        , 	Binance     , 	ICX/USDT, 	0.2377, 	1.4512, 	0.2368, 	9066.57, 	0.380068%, 	0.250000%, 	0.130068%
2020-04-10 08:02:41, 	OKEX        , 	Binance     , 	ICX/USDT, 	0.2377, 	1.4512, 	0.2365, 	677.64, 	0.507400%, 	0.250000%, 	0.257400%
2020-04-10 08:02:56, 	OKEX        , 	Binance     , 	ICX/USDT, 	0.2369, 	1.4998, 	0.2364, 	10048.0, 	0.211506%, 	0.250000%, 	-0.038494%
2020-04-10 15:17:09, 	OKEX        , 	Binance     , 	ICX/USDT, 	0.2378, 	0.101, 	0.2352, 	531.96, 	1.105442%, 	0.250000%, 	0.855442%
2020-04-10 15:17:24, 	OKEX        , 	Binance     , 	ICX/USDT, 	0.2364, 	0.101, 	0.2352, 	970.48, 	0.510204%, 	0.250000%, 	0.260204%
2020-04-10 15:17:39, 	OKEX        , 	Binance     , 	ICX/USDT, 	0.2364, 	0.101, 	0.2351, 	543.74, 	0.552956%, 	0.250000%, 	0.302956%
2020-04-10 15:17:54, 	OKEX        , 	Binance     , 	ICX/USDT, 	0.2364, 	0.101, 	0.2349, 	543.74, 	0.638570%, 	0.250000%, 	0.388570%
2020-04-10 15:18:09, 	OKEX        , 	Binance     , 	ICX/USDT, 	0.2364, 	0.101, 	0.2349, 	984.0, 	0.638570%, 	0.250000%, 	0.388570%
2020-04-10 15:18:24, 	OKEX        , 	Binance     , 	ICX/USDT, 	0.2355, 	1.6234, 	0.2348, 	424.46, 	0.298126%, 	0.250000%, 	0.048126%
2020-04-10 15:18:39, 	OKEX        , 	Binance     , 	ICX/USDT, 	0.2355, 	1.6234, 	0.2348, 	424.46, 	0.298126%, 	0.250000%, 	0.048126%
2020-04-10 15:18:54, 	OKEX        , 	Binance     , 	ICX/USDT, 	0.2355, 	1.6234, 	0.2348, 	29312.18, 	0.298126%, 	0.250000%, 	0.048126%
2020-04-10 15:19:09, 	OKEX        , 	Binance     , 	ICX/USDT, 	0.2355, 	1.7238, 	0.2347, 	441.97, 	0.340861%, 	0.250000%, 	0.090861%
2020-04-10 15:19:24, 	OKEX        , 	Binance     , 	ICX/USDT, 	0.2364, 	0.101, 	0.2347, 	628.48, 	0.724329%, 	0.250000%, 	0.474329%
2020-04-10 15:19:39, 	OKEX        , 	Binance     , 	ICX/USDT, 	0.2364, 	0.101, 	0.2347, 	628.48, 	0.724329%, 	0.250000%, 	0.474329%
2020-04-10 15:19:54, 	OKEX        , 	Binance     , 	ICX/USDT, 	0.2364, 	0.101, 	0.2347, 	628.48, 	0.724329%, 	0.250000%, 	0.474329%
2020-04-10 15:20:09, 	OKEX        , 	Binance     , 	ICX/USDT, 	0.2364, 	0.101, 	0.2347, 	628.48, 	0.724329%, 	0.250000%, 	0.474329%
2020-04-10 15:20:24, 	OKEX        , 	Binance     , 	ICX/USDT, 	0.2364, 	0.101, 	0.2347, 	628.48, 	0.724329%, 	0.250000%, 	0.474329%
2020-04-10 15:20:39, 	OKEX        , 	Binance     , 	ICX/USDT, 	0.2364, 	0.101, 	0.2347, 	11628.48, 	0.724329%, 	0.250000%, 	0.474329%
2020-04-10 15:20:54, 	OKEX        , 	Binance     , 	ICX/USDT, 	0.2364, 	0.101, 	0.2346, 	29312.18, 	0.767263%, 	0.250000%, 	0.517263%
2020-04-10 15:21:09, 	OKEX        , 	Binance     , 	ICX/USDT, 	0.2364, 	0.101, 	0.2344, 	1357.3, 	0.853242%, 	0.250000%, 	0.603242%
2020-04-10 15:21:24, 	OKEX        , 	Binance     , 	ICX/USDT, 	0.2364, 	0.0002, 	0.2345, 	211.36, 	0.810235%, 	0.250000%, 	0.560235%
2020-04-10 15:21:39, 	OKEX        , 	Binance     , 	ICX/USDT, 	0.2339, 	33.2086, 	0.2346, 	22092.6, 	-0.298380%, 	0.250000%, 	-0.548380%
