2020-04-09 12:24:10, 	OKEX        , 	Binance     , 	KNC/BTC, 	6.95e-05, 	4.317, 	6.922e-05, 	121.0, 	0.404507%, 	0.250000%, 	0.154507%
2020-04-09 12:24:25, 	OKEX        , 	Binance     , 	KNC/BTC, 	6.95e-05, 	4.317, 	6.922e-05, 	121.0, 	0.404507%, 	0.250000%, 	0.154507%
2020-04-09 12:24:40, 	OKEX        , 	Binance     , 	KNC/BTC, 	6.95e-05, 	4.317, 	6.922e-05, 	121.0, 	0.404507%, 	0.250000%, 	0.154507%
2020-04-09 12:24:55, 	OKEX        , 	Binance     , 	KNC/BTC, 	6.95e-05, 	4.317, 	6.922e-05, 	121.0, 	0.404507%, 	0.250000%, 	0.154507%
2020-04-09 12:25:10, 	OKEX        , 	Binance     , 	KNC/BTC, 	6.95e-05, 	4.317, 	6.92e-05, 	300.0, 	0.433526%, 	0.250000%, 	0.183526%
2020-04-09 12:25:25, 	OKEX        , 	Binance     , 	KNC/BTC, 	6.95e-05, 	4.317, 	6.92e-05, 	300.0, 	0.433526%, 	0.250000%, 	0.183526%
2020-04-09 12:25:40, 	OKEX        , 	Binance     , 	KNC/BTC, 	6.95e-05, 	4.317, 	6.92e-05, 	115.0, 	0.433526%, 	0.250000%, 	0.183526%
2020-04-09 12:25:55, 	OKEX        , 	Binance     , 	KNC/BTC, 	6.95e-05, 	4.317, 	6.92e-05, 	115.0, 	0.433526%, 	0.250000%, 	0.183526%
2020-04-09 12:26:10, 	OKEX        , 	Binance     , 	KNC/BTC, 	6.95e-05, 	4.317, 	6.92e-05, 	115.0, 	0.433526%, 	0.250000%, 	0.183526%
2020-04-09 12:26:25, 	OKEX        , 	Binance     , 	KNC/BTC, 	6.95e-05, 	4.317, 	6.92e-05, 	115.0, 	0.433526%, 	0.250000%, 	0.183526%
2020-04-09 12:26:40, 	OKEX        , 	Binance     , 	KNC/BTC, 	6.95e-05, 	4.317, 	6.92e-05, 	115.0, 	0.433526%, 	0.250000%, 	0.183526%
2020-04-09 12:26:55, 	OKEX        , 	Binance     , 	KNC/BTC, 	6.95e-05, 	4.317, 	6.92e-05, 	115.0, 	0.433526%, 	0.250000%, 	0.183526%
2020-04-09 12:27:10, 	OKEX        , 	Binance     , 	KNC/BTC, 	6.95e-05, 	5.756, 	6.92e-05, 	115.0, 	0.433526%, 	0.250000%, 	0.183526%
2020-04-09 12:27:25, 	OKEX        , 	Binance     , 	KNC/BTC, 	6.95e-05, 	5.756, 	6.92e-05, 	115.0, 	0.433526%, 	0.250000%, 	0.183526%
2020-04-09 12:27:40, 	OKEX        , 	Binance     , 	KNC/BTC, 	6.95e-05, 	5.756, 	6.92e-05, 	115.0, 	0.433526%, 	0.250000%, 	0.183526%
2020-04-09 12:27:55, 	OKEX        , 	Binance     , 	KNC/BTC, 	6.95e-05, 	5.756, 	6.92e-05, 	115.0, 	0.433526%, 	0.250000%, 	0.183526%
2020-04-09 12:28:10, 	OKEX        , 	Binance     , 	KNC/BTC, 	6.95e-05, 	5.756, 	6.92e-05, 	115.0, 	0.433526%, 	0.250000%, 	0.183526%
2020-04-09 12:28:25, 	OKEX        , 	Binance     , 	KNC/BTC, 	6.95e-05, 	5.756, 	6.92e-05, 	115.0, 	0.433526%, 	0.250000%, 	0.183526%
2020-04-09 12:28:40, 	OKEX        , 	Binance     , 	KNC/BTC, 	6.95e-05, 	5.756, 	6.9e-05, 	18984.0, 	0.724638%, 	0.250000%, 	0.474638%
2020-04-09 12:28:55, 	OKEX        , 	Binance     , 	KNC/BTC, 	6.95e-05, 	5.756, 	6.9e-05, 	9470.0, 	0.724638%, 	0.250000%, 	0.474638%
2020-04-09 12:29:10, 	OKEX        , 	Binance     , 	KNC/BTC, 	6.95e-05, 	5.756, 	6.9e-05, 	9770.0, 	0.724638%, 	0.250000%, 	0.474638%
2020-04-09 12:29:25, 	OKEX        , 	Binance     , 	KNC/BTC, 	6.95e-05, 	5.756, 	6.9e-05, 	9770.0, 	0.724638%, 	0.250000%, 	0.474638%
2020-04-09 12:29:40, 	OKEX        , 	Binance     , 	KNC/BTC, 	6.95e-05, 	5.756, 	6.899e-05, 	116.0, 	0.739238%, 	0.250000%, 	0.489238%
2020-04-09 12:29:55, 	OKEX        , 	Binance     , 	KNC/BTC, 	6.95e-05, 	5.756, 	6.898e-05, 	211.0, 	0.753842%, 	0.250000%, 	0.503842%
2020-04-09 12:30:10, 	OKEX        , 	Binance     , 	KNC/BTC, 	6.95e-05, 	5.756, 	6.898e-05, 	211.0, 	0.753842%, 	0.250000%, 	0.503842%
2020-04-09 12:30:25, 	OKEX        , 	Binance     , 	KNC/BTC, 	6.95e-05, 	5.756, 	6.9e-05, 	7377.0, 	0.724638%, 	0.250000%, 	0.474638%
2020-04-09 12:30:40, 	OKEX        , 	Binance     , 	KNC/BTC, 	6.95e-05, 	7.195, 	6.9e-05, 	7377.0, 	0.724638%, 	0.250000%, 	0.474638%
2020-04-09 12:30:55, 	OKEX        , 	Binance     , 	KNC/BTC, 	6.95e-05, 	7.195, 	6.9e-05, 	7377.0, 	0.724638%, 	0.250000%, 	0.474638%
2020-04-09 12:31:10, 	OKEX        , 	Binance     , 	KNC/BTC, 	6.95e-05, 	7.195, 	6.9e-05, 	1232.0, 	0.724638%, 	0.250000%, 	0.474638%
2020-04-09 12:31:25, 	OKEX        , 	Binance     , 	KNC/BTC, 	6.95e-05, 	7.195, 	6.912e-05, 	2.0, 	0.549769%, 	0.250000%, 	0.299769%
2020-04-09 12:31:40, 	OKEX        , 	Binance     , 	KNC/BTC, 	6.95e-05, 	7.195, 	6.912e-05, 	3.0, 	0.549769%, 	0.250000%, 	0.299769%
2020-04-09 12:31:55, 	OKEX        , 	Binance     , 	KNC/BTC, 	6.95e-05, 	7.195, 	6.911e-05, 	88.0, 	0.564318%, 	0.250000%, 	0.314318%
2020-04-09 12:32:10, 	OKEX        , 	Binance     , 	KNC/BTC, 	6.95e-05, 	7.195, 	6.913e-05, 	33.0, 	0.535223%, 	0.250000%, 	0.285223%
2020-04-09 12:32:25, 	OKEX        , 	Binance     , 	KNC/BTC, 	6.95e-05, 	7.195, 	6.913e-05, 	33.0, 	0.535223%, 	0.250000%, 	0.285223%
2020-04-09 12:32:40, 	OKEX        , 	Binance     , 	KNC/BTC, 	6.95e-05, 	7.195, 	6.912e-05, 	2.0, 	0.549769%, 	0.250000%, 	0.299769%
2020-04-09 12:32:55, 	OKEX        , 	Binance     , 	KNC/BTC, 	6.95e-05, 	7.195, 	6.913e-05, 	33.0, 	0.535223%, 	0.250000%, 	0.285223%
2020-04-09 12:33:10, 	OKEX        , 	Binance     , 	KNC/BTC, 	6.95e-05, 	7.195, 	6.913e-05, 	33.0, 	0.535223%, 	0.250000%, 	0.285223%
2020-04-09 12:33:25, 	OKEX        , 	Binance     , 	KNC/BTC, 	6.95e-05, 	7.195, 	6.928e-05, 	4.0, 	0.317552%, 	0.250000%, 	0.067552%
2020-04-09 12:33:40, 	OKEX        , 	Binance     , 	KNC/BTC, 	6.95e-05, 	7.195, 	6.929e-05, 	11.0, 	0.303074%, 	0.250000%, 	0.053074%
2020-04-09 12:33:55, 	OKEX        , 	Binance     , 	KNC/BTC, 	6.95e-05, 	7.195, 	6.931e-05, 	3.0, 	0.274131%, 	0.250000%, 	0.024131%
2020-04-09 12:34:10, 	OKEX        , 	Binance     , 	KNC/BTC, 	6.95e-05, 	7.195, 	6.931e-05, 	3.0, 	0.274131%, 	0.250000%, 	0.024131%
2020-04-09 12:34:25, 	OKEX        , 	Binance     , 	KNC/BTC, 	6.96e-05, 	1.437, 	6.93e-05, 	300.0, 	0.432900%, 	0.250000%, 	0.182900%
2020-04-09 12:34:40, 	OKEX        , 	Binance     , 	KNC/BTC, 	6.96e-05, 	1.437, 	6.93e-05, 	300.0, 	0.432900%, 	0.250000%, 	0.182900%
2020-04-09 12:34:55, 	OKEX        , 	Binance     , 	KNC/BTC, 	6.96e-05, 	1.437, 	6.93e-05, 	300.0, 	0.432900%, 	0.250000%, 	0.182900%
2020-04-09 12:35:10, 	OKEX        , 	Binance     , 	KNC/BTC, 	6.96e-05, 	1.437, 	6.93e-05, 	300.0, 	0.432900%, 	0.250000%, 	0.182900%
2020-04-09 12:35:25, 	OKEX        , 	Binance     , 	KNC/BTC, 	6.96e-05, 	1.437, 	6.93e-05, 	298.0, 	0.432900%, 	0.250000%, 	0.182900%
2020-04-09 12:35:40, 	OKEX        , 	Binance     , 	KNC/BTC, 	6.96e-05, 	1.437, 	6.93e-05, 	87.0, 	0.432900%, 	0.250000%, 	0.182900%
2020-04-09 12:35:55, 	OKEX        , 	Binance     , 	KNC/BTC, 	6.96e-05, 	1.437, 	6.93e-05, 	87.0, 	0.432900%, 	0.250000%, 	0.182900%
2020-04-09 12:36:10, 	OKEX        , 	Binance     , 	KNC/BTC, 	6.96e-05, 	1.437, 	6.93e-05, 	86.0, 	0.432900%, 	0.250000%, 	0.182900%
2020-04-09 12:36:25, 	OKEX        , 	Binance     , 	KNC/BTC, 	6.96e-05, 	1.437, 	6.93e-05, 	86.0, 	0.432900%, 	0.250000%, 	0.182900%
2020-04-09 12:36:40, 	OKEX        , 	Binance     , 	KNC/BTC, 	6.96e-05, 	1.437, 	6.93e-05, 	86.0, 	0.432900%, 	0.250000%, 	0.182900%
2020-04-09 12:36:55, 	OKEX        , 	Binance     , 	KNC/BTC, 	6.96e-05, 	1.437, 	6.93e-05, 	86.0, 	0.432900%, 	0.250000%, 	0.182900%
2020-04-09 12:37:10, 	OKEX        , 	Binance     , 	KNC/BTC, 	6.96e-05, 	1.437, 	6.93e-05, 	86.0, 	0.432900%, 	0.250000%, 	0.182900%
2020-04-09 12:37:25, 	OKEX        , 	Binance     , 	KNC/BTC, 	6.96e-05, 	1.437, 	6.93e-05, 	86.0, 	0.432900%, 	0.250000%, 	0.182900%
2020-04-09 12:37:40, 	OKEX        , 	Binance     , 	KNC/BTC, 	6.96e-05, 	1.437, 	6.928e-05, 	300.0, 	0.461894%, 	0.250000%, 	0.211894%
2020-04-09 12:37:55, 	OKEX        , 	Binance     , 	KNC/BTC, 	6.96e-05, 	2.874, 	6.928e-05, 	300.0, 	0.461894%, 	0.250000%, 	0.211894%
2020-04-09 12:38:10, 	OKEX        , 	Binance     , 	KNC/BTC, 	6.96e-05, 	2.874, 	6.928e-05, 	289.0, 	0.461894%, 	0.250000%, 	0.211894%
2020-04-09 12:38:25, 	OKEX        , 	Binance     , 	KNC/BTC, 	6.96e-05, 	2.874, 	6.928e-05, 	289.0, 	0.461894%, 	0.250000%, 	0.211894%
2020-04-09 12:38:40, 	OKEX        , 	Binance     , 	KNC/BTC, 	6.96e-05, 	2.874, 	6.928e-05, 	102.0, 	0.461894%, 	0.250000%, 	0.211894%
2020-04-09 12:38:55, 	OKEX        , 	Binance     , 	KNC/BTC, 	6.96e-05, 	2.874, 	6.928e-05, 	102.0, 	0.461894%, 	0.250000%, 	0.211894%
2020-04-09 12:39:10, 	OKEX        , 	Binance     , 	KNC/BTC, 	6.96e-05, 	2.874, 	6.928e-05, 	102.0, 	0.461894%, 	0.250000%, 	0.211894%
2020-04-09 12:39:25, 	OKEX        , 	Binance     , 	KNC/BTC, 	6.96e-05, 	2.874, 	6.928e-05, 	102.0, 	0.461894%, 	0.250000%, 	0.211894%
