2020-04-11 12:13:25, 	OKEX        , 	Binance     , 	MITH/USDT, 	0.00349, 	657.646, 	0.00348, 	6666.0, 	0.287356%, 	0.250000%, 	0.037356%
2020-04-11 12:13:40, 	OKEX        , 	Binance     , 	MITH/USDT, 	0.00349, 	700.34, 	0.00348, 	6666.0, 	0.287356%, 	0.250000%, 	0.037356%
2020-04-11 12:13:55, 	OKEX        , 	Binance     , 	MITH/USDT, 	0.00349, 	700.34, 	0.00348, 	6666.0, 	0.287356%, 	0.250000%, 	0.037356%
2020-04-11 12:14:10, 	OKEX        , 	Binance     , 	MITH/USDT, 	0.00349, 	738.53, 	0.00348, 	6666.0, 	0.287356%, 	0.250000%, 	0.037356%
2020-04-11 12:14:25, 	OKEX        , 	Binance     , 	MITH/USDT, 	0.00349, 	729.443, 	0.00348, 	6666.0, 	0.287356%, 	0.250000%, 	0.037356%
2020-04-11 12:14:40, 	OKEX        , 	Binance     , 	MITH/USDT, 	0.00349, 	729.443, 	0.00348, 	6666.0, 	0.287356%, 	0.250000%, 	0.037356%
2020-04-11 12:14:55, 	OKEX        , 	Binance     , 	MITH/USDT, 	0.00349, 	687.276, 	0.00348, 	6666.0, 	0.287356%, 	0.250000%, 	0.037356%
2020-04-11 12:15:10, 	OKEX        , 	Binance     , 	MITH/USDT, 	0.00349, 	687.276, 	0.00348, 	6666.0, 	0.287356%, 	0.250000%, 	0.037356%
2020-04-11 12:15:25, 	OKEX        , 	Binance     , 	MITH/USDT, 	0.00349, 	670.61, 	0.00348, 	6666.0, 	0.287356%, 	0.250000%, 	0.037356%
2020-04-11 12:15:40, 	OKEX        , 	Binance     , 	MITH/USDT, 	0.00349, 	670.61, 	0.00348, 	6666.0, 	0.287356%, 	0.250000%, 	0.037356%
2020-04-11 12:15:55, 	OKEX        , 	Binance     , 	MITH/USDT, 	0.00349, 	670.61, 	0.00348, 	6666.0, 	0.287356%, 	0.250000%, 	0.037356%
2020-04-11 12:16:10, 	OKEX        , 	Binance     , 	MITH/USDT, 	0.00349, 	670.61, 	0.00348, 	6666.0, 	0.287356%, 	0.250000%, 	0.037356%
2020-04-11 12:16:25, 	OKEX        , 	Binance     , 	MITH/USDT, 	0.00349, 	688.614, 	0.00348, 	6666.0, 	0.287356%, 	0.250000%, 	0.037356%
2020-04-11 12:16:40, 	OKEX        , 	Binance     , 	MITH/USDT, 	0.00349, 	688.614, 	0.00348, 	6666.0, 	0.287356%, 	0.250000%, 	0.037356%
2020-04-11 12:16:55, 	OKEX        , 	Binance     , 	MITH/USDT, 	0.00349, 	688.614, 	0.00348, 	6666.0, 	0.287356%, 	0.250000%, 	0.037356%
2020-04-11 12:17:10, 	OKEX        , 	Binance     , 	MITH/USDT, 	0.00349, 	688.614, 	0.00348, 	6666.0, 	0.287356%, 	0.250000%, 	0.037356%
