2020-04-11 11:14:01, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01658, 	24395.3, 	0.422195%, 	0.250000%, 	0.172195%
2020-04-11 11:14:16, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01658, 	21262.0, 	0.422195%, 	0.250000%, 	0.172195%
2020-04-11 11:14:31, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01658, 	24403.2, 	0.422195%, 	0.250000%, 	0.172195%
2020-04-11 11:14:46, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01658, 	24403.2, 	0.422195%, 	0.250000%, 	0.172195%
2020-04-11 11:15:01, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01658, 	21262.0, 	0.422195%, 	0.250000%, 	0.172195%
2020-04-11 11:15:16, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01658, 	24403.3, 	0.422195%, 	0.250000%, 	0.172195%
2020-04-11 11:15:31, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01656, 	21262.0, 	0.543478%, 	0.250000%, 	0.293478%
2020-04-11 11:15:46, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01657, 	21262.0, 	0.482800%, 	0.250000%, 	0.232800%
2020-04-11 11:16:01, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01657, 	21262.0, 	0.482800%, 	0.250000%, 	0.232800%
2020-04-11 11:16:16, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01657, 	21262.0, 	0.482800%, 	0.250000%, 	0.232800%
2020-04-11 11:16:31, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01657, 	24404.9, 	0.482800%, 	0.250000%, 	0.232800%
2020-04-11 11:16:46, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01656, 	24407.8, 	0.543478%, 	0.250000%, 	0.293478%
2020-04-11 11:17:01, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01656, 	24407.8, 	0.543478%, 	0.250000%, 	0.293478%
2020-04-11 11:17:16, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01656, 	24407.8, 	0.543478%, 	0.250000%, 	0.293478%
2020-04-11 11:17:31, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01656, 	24407.8, 	0.543478%, 	0.250000%, 	0.293478%
2020-04-11 11:17:46, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01656, 	24407.8, 	0.543478%, 	0.250000%, 	0.293478%
2020-04-11 11:18:01, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01656, 	24407.8, 	0.543478%, 	0.250000%, 	0.293478%
2020-04-11 11:18:16, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01656, 	24407.8, 	0.543478%, 	0.250000%, 	0.293478%
2020-04-11 11:18:31, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01657, 	69414.8, 	0.482800%, 	0.250000%, 	0.232800%
2020-04-11 11:18:46, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01657, 	69414.8, 	0.482800%, 	0.250000%, 	0.232800%
2020-04-11 11:19:01, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01657, 	69414.8, 	0.482800%, 	0.250000%, 	0.232800%
2020-04-11 11:19:16, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01657, 	69414.8, 	0.482800%, 	0.250000%, 	0.232800%
2020-04-11 11:19:31, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01659, 	24427.4, 	0.361664%, 	0.250000%, 	0.111664%
2020-04-11 11:19:46, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01659, 	24427.4, 	0.361664%, 	0.250000%, 	0.111664%
2020-04-11 11:20:01, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01659, 	24427.4, 	0.361664%, 	0.250000%, 	0.111664%
2020-04-11 11:20:16, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01659, 	24427.4, 	0.361664%, 	0.250000%, 	0.111664%
2020-04-11 11:20:31, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01658, 	24436.2, 	0.422195%, 	0.250000%, 	0.172195%
2020-04-11 11:20:46, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01658, 	24436.2, 	0.422195%, 	0.250000%, 	0.172195%
2020-04-11 11:21:01, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01658, 	24436.2, 	0.422195%, 	0.250000%, 	0.172195%
2020-04-11 11:21:16, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01655, 	17849.3, 	0.604230%, 	0.250000%, 	0.354230%
2020-04-11 11:21:31, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01655, 	24443.3, 	0.604230%, 	0.250000%, 	0.354230%
2020-04-11 11:21:46, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01653, 	3182.5, 	0.725953%, 	0.250000%, 	0.475953%
2020-04-11 11:22:01, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01653, 	3182.5, 	0.725953%, 	0.250000%, 	0.475953%
2020-04-11 11:22:16, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01653, 	3182.5, 	0.725953%, 	0.250000%, 	0.475953%
2020-04-11 11:22:31, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01655, 	21262.0, 	0.604230%, 	0.250000%, 	0.354230%
2020-04-11 11:22:46, 	OKEX        , 	Binance     , 	RVN/USDT, 	0.01665, 	1.01, 	0.01655, 	900.6, 	0.604230%, 	0.250000%, 	0.354230%
