2020-04-09 16:40:05, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005545, 	257398.0, 	0.991885%, 	0.250000%, 	0.741885%
2020-04-09 16:40:20, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005545, 	257398.0, 	0.991885%, 	0.250000%, 	0.741885%
2020-04-09 16:40:35, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005544, 	50406.0, 	1.010101%, 	0.250000%, 	0.760101%
2020-04-09 16:40:50, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005545, 	257398.0, 	0.991885%, 	0.250000%, 	0.741885%
2020-04-09 16:41:05, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005545, 	257398.0, 	0.991885%, 	0.250000%, 	0.741885%
2020-04-09 16:41:20, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005544, 	50409.0, 	1.010101%, 	0.250000%, 	0.760101%
2020-04-09 16:41:35, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005544, 	50409.0, 	1.010101%, 	0.250000%, 	0.760101%
2020-04-09 16:41:50, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005544, 	50409.0, 	1.010101%, 	0.250000%, 	0.760101%
2020-04-09 16:42:05, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005544, 	50409.0, 	1.010101%, 	0.250000%, 	0.760101%
2020-04-09 16:42:20, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005544, 	50409.0, 	1.010101%, 	0.250000%, 	0.760101%
2020-04-09 16:42:35, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005544, 	99258.0, 	1.010101%, 	0.250000%, 	0.760101%
2020-04-09 16:42:50, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005544, 	99258.0, 	1.010101%, 	0.250000%, 	0.760101%
2020-04-09 16:43:05, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005543, 	7893.0, 	1.028324%, 	0.250000%, 	0.778324%
2020-04-09 16:43:20, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005543, 	7893.0, 	1.028324%, 	0.250000%, 	0.778324%
2020-04-09 16:43:35, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005543, 	7893.0, 	1.028324%, 	0.250000%, 	0.778324%
2020-04-09 16:43:50, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005543, 	17469.0, 	1.028324%, 	0.250000%, 	0.778324%
2020-04-09 16:44:05, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005543, 	17469.0, 	1.028324%, 	0.250000%, 	0.778324%
2020-04-09 16:44:20, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005543, 	7893.0, 	1.028324%, 	0.250000%, 	0.778324%
2020-04-09 16:44:35, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005543, 	7893.0, 	1.028324%, 	0.250000%, 	0.778324%
2020-04-09 16:44:50, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005543, 	7893.0, 	1.028324%, 	0.250000%, 	0.778324%
2020-04-09 16:45:05, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005543, 	7893.0, 	1.028324%, 	0.250000%, 	0.778324%
2020-04-09 16:45:20, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005543, 	7893.0, 	1.028324%, 	0.250000%, 	0.778324%
2020-04-09 16:45:35, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005543, 	7893.0, 	1.028324%, 	0.250000%, 	0.778324%
2020-04-09 16:45:50, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005543, 	7893.0, 	1.028324%, 	0.250000%, 	0.778324%
2020-04-09 16:46:05, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005543, 	7893.0, 	1.028324%, 	0.250000%, 	0.778324%
2020-04-09 16:46:20, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005543, 	7893.0, 	1.028324%, 	0.250000%, 	0.778324%
2020-04-09 16:46:35, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005543, 	7893.0, 	1.028324%, 	0.250000%, 	0.778324%
2020-04-09 16:46:50, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005543, 	7893.0, 	1.028324%, 	0.250000%, 	0.778324%
2020-04-09 16:47:05, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005543, 	7893.0, 	1.028324%, 	0.250000%, 	0.778324%
2020-04-09 16:47:20, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005543, 	7893.0, 	1.028324%, 	0.250000%, 	0.778324%
2020-04-09 16:47:35, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005543, 	7893.0, 	1.028324%, 	0.250000%, 	0.778324%
2020-04-09 16:47:50, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005543, 	7893.0, 	1.028324%, 	0.250000%, 	0.778324%
2020-04-09 16:48:05, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005543, 	7893.0, 	1.028324%, 	0.250000%, 	0.778324%
2020-04-09 16:48:20, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005543, 	7893.0, 	1.028324%, 	0.250000%, 	0.778324%
2020-04-09 16:48:35, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005535, 	174608.0, 	1.174345%, 	0.250000%, 	0.924345%
2020-04-09 16:48:50, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005535, 	174608.0, 	1.174345%, 	0.250000%, 	0.924345%
2020-04-09 16:49:05, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005541, 	50422.0, 	1.064790%, 	0.250000%, 	0.814790%
2020-04-09 16:49:20, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005543, 	7893.0, 	1.028324%, 	0.250000%, 	0.778324%
2020-04-09 16:49:35, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005543, 	7893.0, 	1.028324%, 	0.250000%, 	0.778324%
2020-04-09 16:49:50, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005543, 	7893.0, 	1.028324%, 	0.250000%, 	0.778324%
2020-04-09 16:50:05, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005543, 	7893.0, 	1.028324%, 	0.250000%, 	0.778324%
2020-04-09 16:50:20, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005543, 	7893.0, 	1.028324%, 	0.250000%, 	0.778324%
2020-04-09 16:50:35, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005543, 	7893.0, 	1.028324%, 	0.250000%, 	0.778324%
2020-04-09 16:50:51, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005535, 	174608.0, 	1.174345%, 	0.250000%, 	0.924345%
2020-04-09 16:51:06, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005535, 	174608.0, 	1.174345%, 	0.250000%, 	0.924345%
2020-04-09 16:51:21, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005542, 	140104.0, 	1.046554%, 	0.250000%, 	0.796554%
2020-04-09 16:51:36, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005541, 	9576.0, 	1.064790%, 	0.250000%, 	0.814790%
2020-04-09 16:51:51, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005543, 	7893.0, 	1.028324%, 	0.250000%, 	0.778324%
2020-04-09 16:52:06, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005543, 	7893.0, 	1.028324%, 	0.250000%, 	0.778324%
2020-04-09 16:52:21, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005543, 	7893.0, 	1.028324%, 	0.250000%, 	0.778324%
2020-04-09 16:52:36, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005543, 	7893.0, 	1.028324%, 	0.250000%, 	0.778324%
2020-04-09 16:52:51, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005543, 	17469.0, 	1.028324%, 	0.250000%, 	0.778324%
2020-04-09 16:53:06, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005543, 	7893.0, 	1.028324%, 	0.250000%, 	0.778324%
2020-04-09 16:53:21, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005543, 	7893.0, 	1.028324%, 	0.250000%, 	0.778324%
2020-04-09 16:53:36, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005543, 	7893.0, 	1.028324%, 	0.250000%, 	0.778324%
2020-04-09 16:53:51, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005543, 	7893.0, 	1.028324%, 	0.250000%, 	0.778324%
2020-04-09 16:54:06, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005543, 	7893.0, 	1.028324%, 	0.250000%, 	0.778324%
2020-04-09 16:54:21, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005543, 	7893.0, 	1.028324%, 	0.250000%, 	0.778324%
2020-04-09 16:54:36, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005543, 	7893.0, 	1.028324%, 	0.250000%, 	0.778324%
2020-04-09 16:54:51, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005543, 	7893.0, 	1.028324%, 	0.250000%, 	0.778324%
2020-04-09 16:55:06, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005543, 	17469.0, 	1.028324%, 	0.250000%, 	0.778324%
2020-04-09 16:55:21, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005543, 	17469.0, 	1.028324%, 	0.250000%, 	0.778324%
2020-04-09 16:55:36, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005543, 	7893.0, 	1.028324%, 	0.250000%, 	0.778324%
2020-04-09 16:55:51, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	41170.94, 	0.005402, 	5198.0, 	1.814143%, 	0.250000%, 	1.564143%
2020-04-09 16:56:06, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	45570.94, 	0.005535, 	12262.0, 	-0.632340%, 	0.250000%, 	-0.882340%
2020-04-10 02:09:49, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	316566.6, 	0.005448, 	49950.0, 	0.954479%, 	0.250000%, 	0.704479%
2020-04-10 02:10:04, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	316566.6, 	0.005448, 	49950.0, 	0.954479%, 	0.250000%, 	0.704479%
2020-04-10 02:10:19, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	316566.6, 	0.005448, 	49950.0, 	0.954479%, 	0.250000%, 	0.704479%
2020-04-10 02:10:34, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	316566.6, 	0.005448, 	103313.0, 	0.954479%, 	0.250000%, 	0.704479%
2020-04-10 02:10:49, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	316566.6, 	0.005448, 	49950.0, 	0.954479%, 	0.250000%, 	0.704479%
2020-04-10 02:11:04, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	316566.6, 	0.005448, 	49950.0, 	0.954479%, 	0.250000%, 	0.704479%
2020-04-10 02:11:19, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	316566.6, 	0.005448, 	49950.0, 	0.954479%, 	0.250000%, 	0.704479%
2020-04-10 02:11:34, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	316566.6, 	0.005448, 	103313.0, 	0.954479%, 	0.250000%, 	0.704479%
2020-04-10 02:11:49, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	316566.6, 	0.005446, 	146222.0, 	0.991553%, 	0.250000%, 	0.741553%
2020-04-10 02:12:04, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	316566.6, 	0.005439, 	93083.0, 	1.121530%, 	0.250000%, 	0.871530%
2020-04-10 02:12:19, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	316566.6, 	0.005448, 	49950.0, 	0.954479%, 	0.250000%, 	0.704479%
2020-04-10 02:12:34, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	316566.6, 	0.005448, 	49950.0, 	0.954479%, 	0.250000%, 	0.704479%
