2020-04-09 13:09:47, 	OKEX        , 	Binance     , 	WTC/BTC, 	3.58e-05, 	0.0002, 	3.56e-05, 	1967.85, 	0.561798%, 	0.250000%, 	0.311798%
2020-04-09 13:10:02, 	OKEX        , 	Binance     , 	WTC/BTC, 	3.58e-05, 	0.0002, 	3.56e-05, 	1967.85, 	0.561798%, 	0.250000%, 	0.311798%
2020-04-09 13:10:17, 	OKEX        , 	Binance     , 	WTC/BTC, 	3.58e-05, 	0.0002, 	3.56e-05, 	1967.85, 	0.561798%, 	0.250000%, 	0.311798%
2020-04-09 13:10:32, 	OKEX        , 	Binance     , 	WTC/BTC, 	3.58e-05, 	0.0002, 	3.55e-05, 	3392.62, 	0.845070%, 	0.250000%, 	0.595070%
2020-04-09 13:10:47, 	OKEX        , 	Binance     , 	WTC/BTC, 	3.56e-05, 	0.2931, 	3.55e-05, 	519.72, 	0.281690%, 	0.250000%, 	0.031690%
2020-04-09 13:11:02, 	OKEX        , 	Binance     , 	WTC/BTC, 	3.54e-05, 	269.0819, 	3.55e-05, 	511.39, 	-0.281690%, 	0.250000%, 	-0.531690%
2020-04-10 02:49:19, 	OKEX        , 	Binance     , 	WTC/BTC, 	3.58e-05, 	0.1866, 	3.57e-05, 	8.75, 	0.280112%, 	0.250000%, 	0.030112%
2020-04-10 02:49:34, 	OKEX        , 	Binance     , 	WTC/BTC, 	3.58e-05, 	0.1866, 	3.57e-05, 	8.75, 	0.280112%, 	0.250000%, 	0.030112%
2020-04-10 02:49:49, 	OKEX        , 	Binance     , 	WTC/BTC, 	3.58e-05, 	0.1866, 	3.57e-05, 	8.75, 	0.280112%, 	0.250000%, 	0.030112%
2020-04-10 02:50:04, 	OKEX        , 	Binance     , 	WTC/BTC, 	3.58e-05, 	0.1866, 	3.57e-05, 	8.75, 	0.280112%, 	0.250000%, 	0.030112%
2020-04-10 02:50:19, 	OKEX        , 	Binance     , 	WTC/BTC, 	3.58e-05, 	0.1866, 	3.57e-05, 	8.75, 	0.280112%, 	0.250000%, 	0.030112%
2020-04-10 02:50:34, 	OKEX        , 	Binance     , 	WTC/BTC, 	3.58e-05, 	0.1866, 	3.57e-05, 	0.37, 	0.280112%, 	0.250000%, 	0.030112%
2020-04-10 02:50:49, 	OKEX        , 	Binance     , 	WTC/BTC, 	3.58e-05, 	0.1866, 	3.57e-05, 	0.37, 	0.280112%, 	0.250000%, 	0.030112%
2020-04-10 02:51:04, 	OKEX        , 	Binance     , 	WTC/BTC, 	3.58e-05, 	0.1866, 	3.57e-05, 	22.24, 	0.280112%, 	0.250000%, 	0.030112%
2020-04-10 02:51:19, 	OKEX        , 	Binance     , 	WTC/BTC, 	3.58e-05, 	0.1866, 	3.57e-05, 	22.24, 	0.280112%, 	0.250000%, 	0.030112%
2020-04-10 02:51:34, 	OKEX        , 	Binance     , 	WTC/BTC, 	3.58e-05, 	0.1866, 	3.57e-05, 	22.24, 	0.280112%, 	0.250000%, 	0.030112%
2020-04-10 02:51:49, 	OKEX        , 	Binance     , 	WTC/BTC, 	3.58e-05, 	0.1866, 	3.57e-05, 	22.24, 	0.280112%, 	0.250000%, 	0.030112%
2020-04-10 02:52:04, 	OKEX        , 	Binance     , 	WTC/BTC, 	3.58e-05, 	0.1866, 	3.57e-05, 	22.24, 	0.280112%, 	0.250000%, 	0.030112%
2020-04-10 02:52:19, 	OKEX        , 	Binance     , 	WTC/BTC, 	3.58e-05, 	0.1866, 	3.57e-05, 	22.24, 	0.280112%, 	0.250000%, 	0.030112%
2020-04-10 02:52:34, 	OKEX        , 	Binance     , 	WTC/BTC, 	3.58e-05, 	0.1866, 	3.57e-05, 	22.24, 	0.280112%, 	0.250000%, 	0.030112%
2020-04-10 02:52:49, 	OKEX        , 	Binance     , 	WTC/BTC, 	3.58e-05, 	0.1866, 	3.57e-05, 	22.24, 	0.280112%, 	0.250000%, 	0.030112%
2020-04-10 02:53:04, 	OKEX        , 	Binance     , 	WTC/BTC, 	3.58e-05, 	0.1866, 	3.57e-05, 	22.24, 	0.280112%, 	0.250000%, 	0.030112%
2020-04-10 02:53:20, 	OKEX        , 	Binance     , 	WTC/BTC, 	3.58e-05, 	0.1866, 	3.57e-05, 	22.24, 	0.280112%, 	0.250000%, 	0.030112%
2020-04-10 02:53:35, 	OKEX        , 	Binance     , 	WTC/BTC, 	3.58e-05, 	0.1866, 	3.57e-05, 	22.24, 	0.280112%, 	0.250000%, 	0.030112%
2020-04-10 02:53:50, 	OKEX        , 	Binance     , 	WTC/BTC, 	3.58e-05, 	0.1866, 	3.57e-05, 	22.24, 	0.280112%, 	0.250000%, 	0.030112%
2020-04-10 02:54:05, 	OKEX        , 	Binance     , 	WTC/BTC, 	3.58e-05, 	0.1866, 	3.57e-05, 	22.24, 	0.280112%, 	0.250000%, 	0.030112%
2020-04-10 02:54:20, 	OKEX        , 	Binance     , 	WTC/BTC, 	3.58e-05, 	0.1866, 	3.57e-05, 	22.24, 	0.280112%, 	0.250000%, 	0.030112%
2020-04-10 02:54:35, 	OKEX        , 	Binance     , 	WTC/BTC, 	3.58e-05, 	0.1866, 	3.57e-05, 	22.24, 	0.280112%, 	0.250000%, 	0.030112%
2020-04-10 02:54:50, 	OKEX        , 	Binance     , 	WTC/BTC, 	3.58e-05, 	0.1866, 	3.57e-05, 	22.24, 	0.280112%, 	0.250000%, 	0.030112%
2020-04-10 02:55:05, 	OKEX        , 	Binance     , 	WTC/BTC, 	3.58e-05, 	0.1866, 	3.57e-05, 	22.24, 	0.280112%, 	0.250000%, 	0.030112%
2020-04-10 02:55:20, 	OKEX        , 	Binance     , 	WTC/BTC, 	3.58e-05, 	0.1866, 	3.57e-05, 	25.05, 	0.280112%, 	0.250000%, 	0.030112%
2020-04-10 02:55:35, 	OKEX        , 	Binance     , 	WTC/BTC, 	3.58e-05, 	0.1866, 	3.57e-05, 	3.18, 	0.280112%, 	0.250000%, 	0.030112%
2020-04-10 02:55:50, 	OKEX        , 	Binance     , 	WTC/BTC, 	3.58e-05, 	0.1866, 	3.57e-05, 	3.18, 	0.280112%, 	0.250000%, 	0.030112%
2020-04-10 02:56:05, 	OKEX        , 	Binance     , 	WTC/BTC, 	3.58e-05, 	0.1866, 	3.57e-05, 	32.57, 	0.280112%, 	0.250000%, 	0.030112%
2020-04-10 02:56:20, 	OKEX        , 	Binance     , 	WTC/BTC, 	3.58e-05, 	0.1866, 	3.57e-05, 	32.57, 	0.280112%, 	0.250000%, 	0.030112%
2020-04-10 02:56:35, 	OKEX        , 	Binance     , 	WTC/BTC, 	3.58e-05, 	0.1866, 	3.57e-05, 	32.57, 	0.280112%, 	0.250000%, 	0.030112%
