2020-04-10 19:31:52, 	OKEX        , 	Bitfinex    , 	EDO/BTC, 	1.82e-05, 	0.5277, 	1.8e-05, 	1250.0, 	1.111111%, 	0.350000%, 	0.761111%
2020-04-10 19:32:07, 	OKEX        , 	Bitfinex    , 	EDO/BTC, 	1.83e-05, 	0.5327, 	1.831e-05, 	250.0, 	-0.054615%, 	0.350000%, 	-0.404615%
2020-04-10 19:34:27, 	OKEX        , 	Bitfinex    , 	EDO/BTC, 	1.88e-05, 	0.578, 	1.848e-05, 	250.0, 	1.731602%, 	0.350000%, 	1.381602%
2020-04-10 19:34:42, 	OKEX        , 	Bitfinex    , 	EDO/BTC, 	1.88e-05, 	0.578, 	1.848e-05, 	250.0, 	1.731602%, 	0.350000%, 	1.381602%
2020-04-10 19:34:57, 	OKEX        , 	Bitfinex    , 	EDO/BTC, 	1.88e-05, 	0.578, 	1.848e-05, 	250.0, 	1.731602%, 	0.350000%, 	1.381602%
2020-04-10 19:35:12, 	OKEX        , 	Bitfinex    , 	EDO/BTC, 	1.88e-05, 	0.578, 	1.844e-05, 	1000.0, 	1.952278%, 	0.350000%, 	1.602278%
2020-04-10 19:35:27, 	OKEX        , 	Bitfinex    , 	EDO/BTC, 	1.88e-05, 	0.578, 	1.83e-05, 	250.0, 	2.732240%, 	0.350000%, 	2.382240%
2020-04-10 19:35:42, 	OKEX        , 	Bitfinex    , 	EDO/BTC, 	1.88e-05, 	0.578, 	1.824e-05, 	1250.0, 	3.070175%, 	0.350000%, 	2.720175%
2020-04-10 19:35:57, 	OKEX        , 	Bitfinex    , 	EDO/BTC, 	1.88e-05, 	0.578, 	1.824e-05, 	1250.0, 	3.070175%, 	0.350000%, 	2.720175%
2020-04-10 19:36:12, 	OKEX        , 	Bitfinex    , 	EDO/BTC, 	1.88e-05, 	0.578, 	1.821e-05, 	250.0, 	3.239978%, 	0.350000%, 	2.889978%
2020-04-10 19:36:27, 	OKEX        , 	Bitfinex    , 	EDO/BTC, 	1.88e-05, 	0.578, 	1.819e-05, 	1000.0, 	3.353491%, 	0.350000%, 	3.003491%
2020-04-10 19:36:42, 	OKEX        , 	Bitfinex    , 	EDO/BTC, 	1.88e-05, 	0.578, 	1.819e-05, 	1250.0, 	3.353491%, 	0.350000%, 	3.003491%
2020-04-10 19:36:57, 	OKEX        , 	Bitfinex    , 	EDO/BTC, 	1.77e-05, 	280.9287, 	1.812e-05, 	250.0, 	-2.317881%, 	0.350000%, 	-2.667881%
