2020-04-08 07:39:42, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.00236, 	5250.0, 	0.00234, 	8750.0, 	0.854701%, 	0.350000%, 	0.504701%
2020-04-08 07:40:12, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.00236, 	5250.0, 	0.00234, 	8750.0, 	0.854701%, 	0.350000%, 	0.504701%
2020-04-08 07:40:42, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.00236, 	5250.0, 	0.00234, 	8750.0, 	0.854701%, 	0.350000%, 	0.504701%
2020-04-08 07:41:12, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.00235, 	5250.0, 	0.00234, 	8750.0, 	0.427350%, 	0.350000%, 	0.077350%
2020-04-08 07:41:42, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.00236, 	5250.0, 	0.00234, 	8750.0, 	0.854701%, 	0.350000%, 	0.504701%
2020-04-08 07:42:12, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.00236, 	5250.0, 	0.00234, 	8750.0, 	0.854701%, 	0.350000%, 	0.504701%
2020-04-08 07:42:42, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002367, 	5250.0, 	0.00234, 	8750.0, 	1.153846%, 	0.350000%, 	0.803846%
2020-04-08 07:43:12, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002367, 	5250.0, 	0.00234, 	8750.0, 	1.153846%, 	0.350000%, 	0.803846%
2020-04-08 07:43:42, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002367, 	5250.0, 	0.00234, 	8750.0, 	1.153846%, 	0.350000%, 	0.803846%
2020-04-08 07:44:12, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002367, 	5250.0, 	0.00234, 	8750.0, 	1.153846%, 	0.350000%, 	0.803846%
2020-04-08 07:44:42, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002367, 	5250.0, 	0.00234, 	8750.0, 	1.153846%, 	0.350000%, 	0.803846%
2020-04-08 07:45:12, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002367, 	5250.0, 	0.00234, 	8750.0, 	1.153846%, 	0.350000%, 	0.803846%
2020-04-08 07:45:42, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002367, 	5250.0, 	0.00234, 	8750.0, 	1.153846%, 	0.350000%, 	0.803846%
2020-04-08 07:46:12, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002367, 	5250.0, 	0.00234, 	8750.0, 	1.153846%, 	0.350000%, 	0.803846%
2020-04-08 07:46:42, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002367, 	5250.0, 	0.00234, 	8750.0, 	1.153846%, 	0.350000%, 	0.803846%
2020-04-08 07:47:12, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002367, 	5250.0, 	0.00234, 	8750.0, 	1.153846%, 	0.350000%, 	0.803846%
2020-04-08 07:47:42, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002367, 	5250.0, 	0.00234, 	8750.0, 	1.153846%, 	0.350000%, 	0.803846%
2020-04-08 07:48:12, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002367, 	5250.0, 	0.00234, 	8750.0, 	1.153846%, 	0.350000%, 	0.803846%
2020-04-08 07:48:42, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002367, 	5250.0, 	0.00234, 	8750.0, 	1.153846%, 	0.350000%, 	0.803846%
2020-04-08 07:49:12, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002367, 	5250.0, 	0.00234, 	8750.0, 	1.153846%, 	0.350000%, 	0.803846%
2020-04-08 07:49:42, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002367, 	5250.0, 	0.00234, 	8750.0, 	1.153846%, 	0.350000%, 	0.803846%
2020-04-08 07:50:12, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002367, 	5250.0, 	0.00234, 	8750.0, 	1.153846%, 	0.350000%, 	0.803846%
2020-04-08 07:50:42, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002367, 	5250.0, 	0.00234, 	8750.0, 	1.153846%, 	0.350000%, 	0.803846%
2020-04-08 07:51:12, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002367, 	5250.0, 	0.00234, 	8750.0, 	1.153846%, 	0.350000%, 	0.803846%
2020-04-08 07:55:15, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.00236, 	5250.0, 	0.00234, 	8750.0, 	0.854701%, 	0.350000%, 	0.504701%
2020-04-08 07:55:45, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.00236, 	5250.0, 	0.00234, 	8750.0, 	0.854701%, 	0.350000%, 	0.504701%
2020-04-08 07:56:15, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.00236, 	5250.0, 	0.00234, 	8750.0, 	0.854701%, 	0.350000%, 	0.504701%
2020-04-08 07:56:45, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.00236, 	5250.0, 	0.00234, 	8750.0, 	0.854701%, 	0.350000%, 	0.504701%
2020-04-08 07:57:15, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.00236, 	5250.0, 	0.00234, 	8750.0, 	0.854701%, 	0.350000%, 	0.504701%
2020-04-08 07:57:45, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.00236, 	5250.0, 	0.00234, 	8750.0, 	0.854701%, 	0.350000%, 	0.504701%
2020-04-08 07:58:15, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002361, 	5250.0, 	0.00234, 	8750.0, 	0.897436%, 	0.350000%, 	0.547436%
