2020-04-11 11:10:38, 	OKEX        , 	Bittrex     , 	DGB/BTC, 	9.24e-07, 	1018.22, 	9.2e-07, 	316855.80077358, 	0.434783%, 	0.400000%, 	0.034783%
2020-04-11 11:10:53, 	OKEX        , 	Bittrex     , 	DGB/BTC, 	9.24e-07, 	1018.22, 	9.2e-07, 	343823.89865792, 	0.434783%, 	0.400000%, 	0.034783%
2020-04-11 11:11:08, 	OKEX        , 	Bittrex     , 	DGB/BTC, 	9.24e-07, 	1018.22, 	9.2e-07, 	348016.22333142, 	0.434783%, 	0.400000%, 	0.034783%
2020-04-11 11:11:23, 	OKEX        , 	Bittrex     , 	DGB/BTC, 	9.24e-07, 	1018.22, 	9.2e-07, 	348016.22333142, 	0.434783%, 	0.400000%, 	0.034783%
2020-04-11 11:11:38, 	OKEX        , 	Bittrex     , 	DGB/BTC, 	9.24e-07, 	1018.22, 	9.2e-07, 	348016.22333142, 	0.434783%, 	0.400000%, 	0.034783%
2020-04-11 11:11:53, 	OKEX        , 	Bittrex     , 	DGB/BTC, 	9.24e-07, 	1018.22, 	9.2e-07, 	348016.22333142, 	0.434783%, 	0.400000%, 	0.034783%
2020-04-11 11:12:08, 	OKEX        , 	Bittrex     , 	DGB/BTC, 	9.24e-07, 	1018.22, 	9.2e-07, 	331609.76282676, 	0.434783%, 	0.400000%, 	0.034783%
2020-04-11 11:12:23, 	OKEX        , 	Bittrex     , 	DGB/BTC, 	9.24e-07, 	1018.22, 	9.2e-07, 	331609.76282676, 	0.434783%, 	0.400000%, 	0.034783%
2020-04-11 11:12:38, 	OKEX        , 	Bittrex     , 	DGB/BTC, 	9.24e-07, 	1018.22, 	9.2e-07, 	321048.12544708, 	0.434783%, 	0.400000%, 	0.034783%
2020-04-11 11:12:53, 	OKEX        , 	Bittrex     , 	DGB/BTC, 	9.24e-07, 	1018.22, 	9.2e-07, 	321048.12544708, 	0.434783%, 	0.400000%, 	0.034783%
2020-04-11 11:13:08, 	OKEX        , 	Bittrex     , 	DGB/BTC, 	9.24e-07, 	1018.22, 	9.2e-07, 	329754.74071644, 	0.434783%, 	0.400000%, 	0.034783%
2020-04-11 11:13:23, 	OKEX        , 	Bittrex     , 	DGB/BTC, 	9.24e-07, 	1018.22, 	9.2e-07, 	364110.61222867, 	0.434783%, 	0.400000%, 	0.034783%
2020-04-11 11:13:38, 	OKEX        , 	Bittrex     , 	DGB/BTC, 	9.24e-07, 	1018.22, 	9.2e-07, 	364110.61222867, 	0.434783%, 	0.400000%, 	0.034783%
2020-04-11 11:13:53, 	OKEX        , 	Bittrex     , 	DGB/BTC, 	9.24e-07, 	1018.22, 	9.2e-07, 	364110.61222867, 	0.434783%, 	0.400000%, 	0.034783%
2020-04-11 11:14:08, 	OKEX        , 	Bittrex     , 	DGB/BTC, 	9.24e-07, 	1018.22, 	9.2e-07, 	364110.61222867, 	0.434783%, 	0.400000%, 	0.034783%
2020-04-11 11:14:23, 	OKEX        , 	Bittrex     , 	DGB/BTC, 	9.24e-07, 	1018.22, 	9.2e-07, 	364110.61222867, 	0.434783%, 	0.400000%, 	0.034783%
2020-04-11 11:14:38, 	OKEX        , 	Bittrex     , 	DGB/BTC, 	9.24e-07, 	1018.22, 	9.2e-07, 	364110.61222867, 	0.434783%, 	0.400000%, 	0.034783%
2020-04-11 11:14:53, 	OKEX        , 	Bittrex     , 	DGB/BTC, 	9.24e-07, 	1018.22, 	9.2e-07, 	364110.61222867, 	0.434783%, 	0.400000%, 	0.034783%
2020-04-11 11:15:08, 	OKEX        , 	Bittrex     , 	DGB/BTC, 	9.24e-07, 	1018.22, 	9.2e-07, 	364110.61222867, 	0.434783%, 	0.400000%, 	0.034783%
2020-04-11 11:15:23, 	OKEX        , 	Bittrex     , 	DGB/BTC, 	9.24e-07, 	1018.22, 	9.2e-07, 	364110.61222867, 	0.434783%, 	0.400000%, 	0.034783%
2020-04-11 11:15:38, 	OKEX        , 	Bittrex     , 	DGB/BTC, 	9.24e-07, 	1018.22, 	9.2e-07, 	321048.12544708, 	0.434783%, 	0.400000%, 	0.034783%
