2020-04-08 18:25:19, 	OKEX        , 	Bittrex     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014307, 	32.98647723, 	0.650031%, 	0.400000%, 	0.250031%
2020-04-08 18:25:34, 	OKEX        , 	Bittrex     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014307, 	32.98647723, 	0.650031%, 	0.400000%, 	0.250031%
2020-04-08 18:25:49, 	OKEX        , 	Bittrex     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014307, 	32.98647723, 	0.650031%, 	0.400000%, 	0.250031%
2020-04-08 18:26:04, 	OKEX        , 	Bittrex     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014307, 	32.98647723, 	0.650031%, 	0.400000%, 	0.250031%
2020-04-08 18:26:19, 	OKEX        , 	Bittrex     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014307, 	32.98647723, 	0.650031%, 	0.400000%, 	0.250031%
2020-04-08 18:26:34, 	OKEX        , 	Bittrex     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014307, 	32.98647723, 	0.650031%, 	0.400000%, 	0.250031%
2020-04-08 18:26:49, 	OKEX        , 	Bittrex     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014307, 	32.98647723, 	0.650031%, 	0.400000%, 	0.250031%
2020-04-08 18:27:04, 	OKEX        , 	Bittrex     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014307, 	32.98647723, 	0.650031%, 	0.400000%, 	0.250031%
2020-04-08 18:27:19, 	OKEX        , 	Bittrex     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014307, 	32.98647723, 	0.650031%, 	0.400000%, 	0.250031%
2020-04-08 18:27:34, 	OKEX        , 	Bittrex     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014307, 	32.98647723, 	0.650031%, 	0.400000%, 	0.250031%
2020-04-08 18:27:49, 	OKEX        , 	Bittrex     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014307, 	32.98647723, 	0.650031%, 	0.400000%, 	0.250031%
2020-04-08 18:28:04, 	OKEX        , 	Bittrex     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014307, 	32.98647723, 	0.650031%, 	0.400000%, 	0.250031%
2020-04-08 18:28:19, 	OKEX        , 	Bittrex     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014307, 	32.98647723, 	0.650031%, 	0.400000%, 	0.250031%
2020-04-08 18:28:34, 	OKEX        , 	Bittrex     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014307, 	32.98647723, 	0.650031%, 	0.400000%, 	0.250031%
2020-04-08 18:28:49, 	OKEX        , 	Bittrex     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014307, 	32.98647723, 	0.650031%, 	0.400000%, 	0.250031%
2020-04-08 18:29:04, 	OKEX        , 	Bittrex     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014307, 	32.98647723, 	0.650031%, 	0.400000%, 	0.250031%
2020-04-08 18:29:19, 	OKEX        , 	Bittrex     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014307, 	32.98647723, 	0.650031%, 	0.400000%, 	0.250031%
2020-04-08 18:29:34, 	OKEX        , 	Bittrex     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014307, 	32.98647723, 	0.650031%, 	0.400000%, 	0.250031%
2020-04-08 18:29:49, 	OKEX        , 	Bittrex     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.0001441, 	334.05996348, 	-0.069396%, 	0.400000%, 	-0.469396%
2020-04-08 19:55:13, 	OKEX        , 	Bittrex     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014333, 	653.0, 	0.467453%, 	0.400000%, 	0.067453%
2020-04-08 19:55:28, 	OKEX        , 	Bittrex     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014333, 	653.0, 	0.467453%, 	0.400000%, 	0.067453%
2020-04-08 19:55:43, 	OKEX        , 	Bittrex     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014333, 	653.0, 	0.467453%, 	0.400000%, 	0.067453%
2020-04-08 19:55:58, 	OKEX        , 	Bittrex     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014333, 	653.0, 	0.467453%, 	0.400000%, 	0.067453%
2020-04-08 19:56:13, 	OKEX        , 	Bittrex     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014333, 	653.0, 	0.467453%, 	0.400000%, 	0.067453%
2020-04-08 19:56:28, 	OKEX        , 	Bittrex     , 	LSK/BTC, 	0.000144, 	0.04363018, 	0.00014333, 	653.0, 	0.467453%, 	0.400000%, 	0.067453%
