2020-04-08 23:20:48, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	1803.895, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
2020-04-08 23:21:03, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	1803.895, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
2020-04-08 23:21:18, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	1803.895, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
2020-04-08 23:21:33, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	1803.895, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
2020-04-08 23:21:48, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	1803.895, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
2020-04-08 23:22:03, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	1803.895, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
2020-04-08 23:22:18, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	1803.895, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
2020-04-08 23:22:33, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	1803.895, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
2020-04-08 23:22:48, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	1803.895, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
2020-04-08 23:23:03, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	1803.895, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
2020-04-08 23:23:18, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	1803.895, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
2020-04-08 23:23:33, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	1803.895, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
2020-04-08 23:23:48, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	1803.895, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
2020-04-08 23:24:03, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	1803.895, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
2020-04-08 23:24:18, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	1803.895, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
2020-04-08 23:24:33, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	1803.895, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
2020-04-08 23:24:48, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	1803.895, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
2020-04-08 23:25:03, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	1803.895, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
2020-04-08 23:25:18, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	1803.895, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
2020-04-08 23:25:33, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	1803.895, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
2020-04-08 23:25:48, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	1803.895, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
2020-04-08 23:26:03, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	1803.895, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
2020-04-08 23:26:18, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	1803.895, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
2020-04-08 23:26:33, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	1803.895, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
2020-04-08 23:26:48, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	1803.895, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
2020-04-08 23:27:03, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	1803.895, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
2020-04-08 23:27:18, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	1803.895, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
2020-04-08 23:27:33, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	1803.895, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
2020-04-08 23:27:48, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	1803.895, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
2020-04-08 23:28:03, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	1803.895, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
2020-04-08 23:28:18, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	1803.895, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
2020-04-08 23:28:33, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	1803.895, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
2020-04-08 23:28:48, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	1803.895, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
2020-04-08 23:29:03, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	1803.895, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
2020-04-08 23:29:18, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	1803.895, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
2020-04-08 23:29:33, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	1803.895, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
2020-04-08 23:29:48, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	1803.895, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
