2020-04-07 23:37:06, 	OKEX        , 	Coinbase Pro, 	BTC/USDC, 	7180.7, 	0.25, 	7123.66, 	0.294, 	0.800712%, 	0.650000%, 	0.150712%
2020-04-07 23:37:36, 	OKEX        , 	Coinbase Pro, 	BTC/USDC, 	7178.7, 	0.25, 	7123.67, 	0.25, 	0.772495%, 	0.650000%, 	0.122495%
2020-04-07 23:38:06, 	OKEX        , 	Coinbase Pro, 	BTC/USDC, 	7173.5, 	0.248, 	7123.67, 	0.25, 	0.699499%, 	0.650000%, 	0.049499%
2020-04-07 23:38:36, 	OKEX        , 	Coinbase Pro, 	BTC/USDC, 	7171.4, 	0.25, 	7123.67, 	0.25, 	0.670020%, 	0.650000%, 	0.020020%
2020-04-07 23:39:06, 	OKEX        , 	Coinbase Pro, 	BTC/USDC, 	7179.7, 	0.084, 	7123.42, 	0.25, 	0.790070%, 	0.650000%, 	0.140070%
2020-04-07 23:39:36, 	OKEX        , 	Coinbase Pro, 	BTC/USDC, 	7179.7, 	0.084, 	7123.38, 	0.25, 	0.790636%, 	0.650000%, 	0.140636%
2020-04-07 23:40:06, 	OKEX        , 	Coinbase Pro, 	BTC/USDC, 	7181.6, 	0.194, 	7123.15, 	0.25, 	0.820564%, 	0.650000%, 	0.170564%
2020-04-07 23:40:36, 	OKEX        , 	Coinbase Pro, 	BTC/USDC, 	7184.1, 	1.55042022, 	7122.98, 	0.25, 	0.858068%, 	0.650000%, 	0.208068%
2020-04-07 23:41:06, 	OKEX        , 	Coinbase Pro, 	BTC/USDC, 	7188.7, 	0.084, 	7122.72, 	1.95, 	0.926332%, 	0.650000%, 	0.276332%
2020-04-07 23:41:36, 	OKEX        , 	Coinbase Pro, 	BTC/USDC, 	7184.9, 	0.08408811, 	7122.64, 	0.25, 	0.874114%, 	0.650000%, 	0.224114%
2020-04-07 23:42:06, 	OKEX        , 	Coinbase Pro, 	BTC/USDC, 	7188.2, 	0.251, 	7122.63, 	1.7, 	0.920587%, 	0.650000%, 	0.270587%
2020-04-07 23:42:36, 	OKEX        , 	Coinbase Pro, 	BTC/USDC, 	7187.4, 	0.25, 	7122.6, 	0.25, 	0.909780%, 	0.650000%, 	0.259780%
2020-04-07 23:43:06, 	OKEX        , 	Coinbase Pro, 	BTC/USDC, 	7187.5, 	0.25, 	7122.52, 	0.25, 	0.912318%, 	0.650000%, 	0.262318%
