2020-04-07 23:43:21, 	OKEX        , 	Coinbase Pro, 	ETH/USDC, 	166.62, 	16.747, 	164.0, 	769.31327841, 	1.597561%, 	0.650000%, 	0.947561%
2020-04-07 23:43:51, 	OKEX        , 	Coinbase Pro, 	ETH/USDC, 	166.57, 	16.747, 	164.0, 	587.25568934, 	1.567073%, 	0.650000%, 	0.917073%
2020-04-07 23:44:21, 	OKEX        , 	Coinbase Pro, 	ETH/USDC, 	166.58, 	16.733, 	164.0, 	331.28990317, 	1.573171%, 	0.650000%, 	0.923171%
2020-04-07 23:44:51, 	OKEX        , 	Coinbase Pro, 	ETH/USDC, 	166.67, 	31.9967, 	164.0, 	168.68170508, 	1.628049%, 	0.650000%, 	0.978049%
2020-04-07 23:45:21, 	OKEX        , 	Coinbase Pro, 	ETH/USDC, 	166.54, 	9.03, 	165.36, 	131.75975, 	0.713595%, 	0.650000%, 	0.063595%
2020-04-07 23:45:51, 	OKEX        , 	Coinbase Pro, 	ETH/USDC, 	166.58, 	1.892, 	165.36, 	9.32727, 	0.737784%, 	0.650000%, 	0.087784%
2020-04-07 23:46:21, 	OKEX        , 	Coinbase Pro, 	ETH/USDC, 	166.86, 	1.892, 	165.39, 	55.69912105, 	0.888808%, 	0.650000%, 	0.238808%
2020-04-07 23:46:51, 	OKEX        , 	Coinbase Pro, 	ETH/USDC, 	166.56, 	1.892, 	165.39, 	3.74135344, 	0.707419%, 	0.650000%, 	0.057419%
2020-04-07 23:47:21, 	OKEX        , 	Coinbase Pro, 	ETH/USDC, 	166.67, 	15.24729426, 	164.0, 	1312.0502736, 	1.628049%, 	0.650000%, 	0.978049%
2020-04-07 23:47:51, 	OKEX        , 	Coinbase Pro, 	ETH/USDC, 	166.79, 	15.24729426, 	164.0, 	628.57675253, 	1.701220%, 	0.650000%, 	1.051220%
2020-04-07 23:48:21, 	OKEX        , 	Coinbase Pro, 	ETH/USDC, 	166.8, 	15.24729426, 	164.0, 	400.83258968, 	1.707317%, 	0.650000%, 	1.057317%
2020-04-07 23:48:51, 	OKEX        , 	Coinbase Pro, 	ETH/USDC, 	166.62, 	16.688, 	164.0, 	302.16676727, 	1.597561%, 	0.650000%, 	0.947561%
2020-04-07 23:49:21, 	OKEX        , 	Coinbase Pro, 	ETH/USDC, 	166.68, 	4.81, 	165.38, 	0.85939047, 	0.786068%, 	0.650000%, 	0.136068%
2020-04-07 23:49:51, 	OKEX        , 	Coinbase Pro, 	ETH/USDC, 	166.62, 	4.81, 	165.38, 	1.878, 	0.749788%, 	0.650000%, 	0.099788%
2020-04-07 23:50:21, 	OKEX        , 	Coinbase Pro, 	ETH/USDC, 	166.54, 	1.896, 	164.5, 	1387.9314795, 	1.240122%, 	0.650000%, 	0.590122%
2020-04-07 23:50:51, 	OKEX        , 	Coinbase Pro, 	ETH/USDC, 	166.72, 	16.717, 	164.5, 	1204.89249188, 	1.349544%, 	0.650000%, 	0.699544%
2020-04-07 23:51:21, 	OKEX        , 	Coinbase Pro, 	ETH/USDC, 	166.54, 	4.83, 	164.5, 	1120.52402239, 	1.240122%, 	0.650000%, 	0.590122%
2020-04-07 23:51:51, 	OKEX        , 	Coinbase Pro, 	ETH/USDC, 	166.47, 	4.83, 	164.5, 	1026.96429781, 	1.197568%, 	0.650000%, 	0.547568%
2020-04-07 23:52:21, 	OKEX        , 	Coinbase Pro, 	ETH/USDC, 	166.5, 	4.82, 	164.5, 	991.10016544, 	1.215805%, 	0.650000%, 	0.565805%
2020-04-07 23:52:51, 	OKEX        , 	Coinbase Pro, 	ETH/USDC, 	166.66, 	4.83, 	164.5, 	950.70272015, 	1.313070%, 	0.650000%, 	0.663070%
2020-04-07 23:53:21, 	OKEX        , 	Coinbase Pro, 	ETH/USDC, 	166.53, 	1.41350447, 	164.5, 	707.30566953, 	1.234043%, 	0.650000%, 	0.584043%
2020-04-07 23:53:51, 	OKEX        , 	Coinbase Pro, 	ETH/USDC, 	166.53, 	1.894, 	164.5, 	566.35522286, 	1.234043%, 	0.650000%, 	0.584043%
2020-04-07 23:54:21, 	OKEX        , 	Coinbase Pro, 	ETH/USDC, 	166.33, 	1.894, 	164.5, 	488.18425888, 	1.112462%, 	0.650000%, 	0.462462%
2020-04-07 23:54:51, 	OKEX        , 	Coinbase Pro, 	ETH/USDC, 	166.37, 	1.894, 	164.5, 	373.40796257, 	1.136778%, 	0.650000%, 	0.486778%
2020-04-07 23:55:21, 	OKEX        , 	Coinbase Pro, 	ETH/USDC, 	166.33, 	1.894, 	164.5, 	284.88287404, 	1.112462%, 	0.650000%, 	0.462462%
2020-04-07 23:55:51, 	OKEX        , 	Coinbase Pro, 	ETH/USDC, 	166.26, 	1.895, 	165.25, 	33.64, 	0.611195%, 	0.650000%, 	-0.038805%
