2020-04-09 06:23:13, 	OKEX        , 	Kraken      , 	BAT/BTC, 	2.45e-05, 	4877.2858, 	2.417e-05, 	2862.205, 	1.365329%, 	0.410000%, 	0.955329%
2020-04-09 06:23:28, 	OKEX        , 	Kraken      , 	BAT/BTC, 	2.45e-05, 	4877.2858, 	2.418e-05, 	2862.595, 	1.323408%, 	0.410000%, 	0.913408%
2020-04-09 06:23:43, 	OKEX        , 	Kraken      , 	BAT/BTC, 	2.45e-05, 	2523.8428, 	2.418e-05, 	2833.335, 	1.323408%, 	0.410000%, 	0.913408%
2020-04-09 06:23:58, 	OKEX        , 	Kraken      , 	BAT/BTC, 	2.45e-05, 	1147.3573, 	2.421e-05, 	2831.67, 	1.197852%, 	0.410000%, 	0.787852%
2020-04-09 06:24:13, 	OKEX        , 	Kraken      , 	BAT/BTC, 	2.45e-05, 	970.8176, 	2.421e-05, 	2831.67, 	1.197852%, 	0.410000%, 	0.787852%
2020-04-09 06:24:28, 	OKEX        , 	Kraken      , 	BAT/BTC, 	2.45e-05, 	970.8176, 	2.421e-05, 	2831.67, 	1.197852%, 	0.410000%, 	0.787852%
2020-04-09 06:24:43, 	OKEX        , 	Kraken      , 	BAT/BTC, 	2.45e-05, 	970.8176, 	2.419e-05, 	2830.558, 	1.281521%, 	0.410000%, 	0.871521%
2020-04-09 06:24:58, 	OKEX        , 	Kraken      , 	BAT/BTC, 	2.45e-05, 	587.5709, 	2.421e-05, 	2827.775, 	1.197852%, 	0.410000%, 	0.787852%
2020-04-09 06:25:13, 	OKEX        , 	Kraken      , 	BAT/BTC, 	2.45e-05, 	587.5709, 	2.42e-05, 	2830.339, 	1.239669%, 	0.410000%, 	0.829669%
2020-04-09 06:25:28, 	OKEX        , 	Kraken      , 	BAT/BTC, 	2.453e-05, 	302.107, 	2.418e-05, 	26380.12, 	1.447477%, 	0.410000%, 	1.037477%
2020-04-09 06:25:43, 	OKEX        , 	Kraken      , 	BAT/BTC, 	2.461e-05, 	1.0516, 	2.417e-05, 	2838.433, 	1.820439%, 	0.410000%, 	1.410439%
2020-04-09 06:25:58, 	OKEX        , 	Kraken      , 	BAT/BTC, 	2.453e-05, 	63.9618, 	2.421e-05, 	26325.78, 	1.321768%, 	0.410000%, 	0.911768%
2020-04-09 06:26:13, 	OKEX        , 	Kraken      , 	BAT/BTC, 	2.453e-05, 	63.9618, 	2.42e-05, 	2837.647, 	1.363636%, 	0.410000%, 	0.953636%
2020-04-09 06:26:28, 	OKEX        , 	Kraken      , 	BAT/BTC, 	2.453e-05, 	63.9618, 	2.421e-05, 	26737.2, 	1.321768%, 	0.410000%, 	0.911768%
2020-04-09 06:26:43, 	OKEX        , 	Kraken      , 	BAT/BTC, 	2.461e-05, 	93.6744, 	2.422e-05, 	2843.844, 	1.610239%, 	0.410000%, 	1.200239%
2020-04-09 06:26:58, 	OKEX        , 	Kraken      , 	BAT/BTC, 	2.461e-05, 	93.6744, 	2.422e-05, 	2844.959, 	1.610239%, 	0.410000%, 	1.200239%
2020-04-09 06:27:13, 	OKEX        , 	Kraken      , 	BAT/BTC, 	2.461e-05, 	93.6744, 	2.421e-05, 	2847.541, 	1.652210%, 	0.410000%, 	1.242210%
2020-04-09 06:27:28, 	OKEX        , 	Kraken      , 	BAT/BTC, 	2.461e-05, 	93.6744, 	2.421e-05, 	2847.541, 	1.652210%, 	0.410000%, 	1.242210%
2020-04-09 06:27:43, 	OKEX        , 	Kraken      , 	BAT/BTC, 	2.477e-05, 	0.5006, 	2.421e-05, 	2847.541, 	2.313094%, 	0.410000%, 	1.903094%
2020-04-09 06:27:58, 	OKEX        , 	Kraken      , 	BAT/BTC, 	2.477e-05, 	0.5006, 	2.421e-05, 	2847.541, 	2.313094%, 	0.410000%, 	1.903094%
2020-04-09 06:28:13, 	OKEX        , 	Kraken      , 	BAT/BTC, 	2.425e-05, 	151.26, 	2.421e-05, 	2847.541, 	0.165221%, 	0.410000%, 	-0.244779%
2020-04-09 08:50:13, 	OKEX        , 	Kraken      , 	BAT/BTC, 	2.436e-05, 	2000.0, 	2.413e-05, 	2833.169, 	0.953170%, 	0.410000%, 	0.543170%
2020-04-09 08:50:28, 	OKEX        , 	Kraken      , 	BAT/BTC, 	2.436e-05, 	2000.0, 	2.413e-05, 	2833.169, 	0.953170%, 	0.410000%, 	0.543170%
2020-04-09 08:50:43, 	OKEX        , 	Kraken      , 	BAT/BTC, 	2.436e-05, 	2000.0, 	2.413e-05, 	2833.169, 	0.953170%, 	0.410000%, 	0.543170%
2020-04-09 08:50:58, 	OKEX        , 	Kraken      , 	BAT/BTC, 	2.433e-05, 	217.8697, 	2.417e-05, 	2827.142, 	0.661978%, 	0.410000%, 	0.251978%
2020-04-09 08:51:13, 	OKEX        , 	Kraken      , 	BAT/BTC, 	2.433e-05, 	217.8697, 	2.417e-05, 	2827.142, 	0.661978%, 	0.410000%, 	0.251978%
2020-04-09 08:51:28, 	OKEX        , 	Kraken      , 	BAT/BTC, 	2.433e-05, 	217.8697, 	2.417e-05, 	2827.142, 	0.661978%, 	0.410000%, 	0.251978%
2020-04-09 08:51:43, 	OKEX        , 	Kraken      , 	BAT/BTC, 	2.42e-05, 	17761.3804, 	2.417e-05, 	2827.142, 	0.124121%, 	0.410000%, 	-0.285879%
2020-04-09 09:10:07, 	OKEX        , 	Kraken      , 	BAT/BTC, 	2.395e-05, 	1.2737, 	2.392e-05, 	2853.472, 	0.125418%, 	0.410000%, 	-0.284582%
