2020-04-09 07:08:52, 	OKEX        , 	Poloniex    , 	BAT/BTC, 	2.47e-05, 	3417.4143, 	2.446e-05, 	7721.55867, 	0.981194%, 	0.240000%, 	0.741194%
2020-04-09 07:09:07, 	OKEX        , 	Poloniex    , 	BAT/BTC, 	2.462e-05, 	718.7419, 	2.446e-05, 	7721.55867, 	0.654129%, 	0.240000%, 	0.414129%
2020-04-09 07:09:22, 	OKEX        , 	Poloniex    , 	BAT/BTC, 	2.462e-05, 	718.7419, 	2.446e-05, 	7721.55867, 	0.654129%, 	0.240000%, 	0.414129%
2020-04-09 07:09:37, 	OKEX        , 	Poloniex    , 	BAT/BTC, 	2.46e-05, 	130.6678, 	2.446e-05, 	7721.55867, 	0.572363%, 	0.240000%, 	0.332363%
2020-04-09 07:09:52, 	OKEX        , 	Poloniex    , 	BAT/BTC, 	2.458e-05, 	262.2703, 	2.446e-05, 	11187.90267, 	0.490597%, 	0.240000%, 	0.250597%
2020-04-09 07:10:07, 	OKEX        , 	Poloniex    , 	BAT/BTC, 	2.46e-05, 	5000.0, 	2.446e-05, 	7721.55867, 	0.572363%, 	0.240000%, 	0.332363%
2020-04-09 07:10:22, 	OKEX        , 	Poloniex    , 	BAT/BTC, 	2.47e-05, 	1302.1508, 	2.446e-05, 	7721.55867, 	0.981194%, 	0.240000%, 	0.741194%
2020-04-09 07:10:37, 	OKEX        , 	Poloniex    , 	BAT/BTC, 	2.453e-05, 	2000.0, 	2.446e-05, 	7721.55867, 	0.286182%, 	0.240000%, 	0.046182%
2020-04-09 07:10:52, 	OKEX        , 	Poloniex    , 	BAT/BTC, 	2.453e-05, 	1437.519, 	2.446e-05, 	7721.55867, 	0.286182%, 	0.240000%, 	0.046182%
2020-04-09 07:11:07, 	OKEX        , 	Poloniex    , 	BAT/BTC, 	2.453e-05, 	1306.9002, 	2.446e-05, 	7721.55867, 	0.286182%, 	0.240000%, 	0.046182%
2020-04-09 07:11:22, 	OKEX        , 	Poloniex    , 	BAT/BTC, 	2.434e-05, 	13.8453, 	2.446e-05, 	4279.79867, 	-0.490597%, 	0.240000%, 	-0.730597%
2020-04-09 07:13:03, 	OKEX        , 	Poloniex    , 	BAT/BTC, 	2.449e-05, 	13.7649, 	2.44e-05, 	3459.32, 	0.368852%, 	0.240000%, 	0.128852%
2020-04-09 07:13:18, 	OKEX        , 	Poloniex    , 	BAT/BTC, 	2.449e-05, 	13.7649, 	2.438e-05, 	7812.46, 	0.451189%, 	0.240000%, 	0.211189%
2020-04-09 07:13:33, 	OKEX        , 	Poloniex    , 	BAT/BTC, 	2.449e-05, 	13.7649, 	2.434e-05, 	3508.488, 	0.616270%, 	0.240000%, 	0.376270%
2020-04-09 07:13:48, 	OKEX        , 	Poloniex    , 	BAT/BTC, 	2.446e-05, 	6.4107, 	2.432e-05, 	7801.924, 	0.575658%, 	0.240000%, 	0.335658%
2020-04-09 07:14:03, 	OKEX        , 	Poloniex    , 	BAT/BTC, 	2.446e-05, 	6.4107, 	2.432e-05, 	7801.924, 	0.575658%, 	0.240000%, 	0.335658%
2020-04-09 07:14:18, 	OKEX        , 	Poloniex    , 	BAT/BTC, 	2.446e-05, 	6.4107, 	2.431e-05, 	4310.996, 	0.617030%, 	0.240000%, 	0.377030%
2020-04-09 07:14:33, 	OKEX        , 	Poloniex    , 	BAT/BTC, 	2.446e-05, 	6.4107, 	2.429e-05, 	4310.996, 	0.699876%, 	0.240000%, 	0.459876%
2020-04-09 07:14:48, 	OKEX        , 	Poloniex    , 	BAT/BTC, 	2.446e-05, 	6.4107, 	2.427e-05, 	4310.996, 	0.782859%, 	0.240000%, 	0.542859%
2020-04-09 07:15:03, 	OKEX        , 	Poloniex    , 	BAT/BTC, 	2.446e-05, 	6.4107, 	2.426e-05, 	7815.972, 	0.824402%, 	0.240000%, 	0.584402%
2020-04-09 07:15:18, 	OKEX        , 	Poloniex    , 	BAT/BTC, 	2.431e-05, 	63.2085, 	2.412e-05, 	295.0, 	0.787728%, 	0.240000%, 	0.547728%
2020-04-09 07:15:33, 	OKEX        , 	Poloniex    , 	BAT/BTC, 	2.431e-05, 	63.2085, 	2.412e-05, 	295.0, 	0.787728%, 	0.240000%, 	0.547728%
2020-04-09 07:15:48, 	OKEX        , 	Poloniex    , 	BAT/BTC, 	2.431e-05, 	63.2085, 	2.412e-05, 	295.0, 	0.787728%, 	0.240000%, 	0.547728%
2020-04-09 07:16:03, 	OKEX        , 	Poloniex    , 	BAT/BTC, 	2.431e-05, 	63.2085, 	2.412e-05, 	295.0, 	0.787728%, 	0.240000%, 	0.547728%
2020-04-09 07:16:18, 	OKEX        , 	Poloniex    , 	BAT/BTC, 	2.416e-05, 	93.9864, 	2.412e-05, 	295.0, 	0.165837%, 	0.240000%, 	-0.074163%
