2020-04-08 18:10:55, 	OKEX        , 	Poloniex    , 	GAS/BTC, 	0.00016, 	5.0, 	0.00015951, 	3.41040097, 	0.307191%, 	0.240000%, 	0.067191%
2020-04-08 18:11:10, 	OKEX        , 	Poloniex    , 	GAS/BTC, 	0.00016, 	5.0, 	0.00015951, 	3.41040097, 	0.307191%, 	0.240000%, 	0.067191%
2020-04-08 18:11:25, 	OKEX        , 	Poloniex    , 	GAS/BTC, 	0.00016, 	5.0, 	0.00015951, 	4.09222036, 	0.307191%, 	0.240000%, 	0.067191%
2020-04-08 18:11:40, 	OKEX        , 	Poloniex    , 	GAS/BTC, 	0.00016, 	5.0, 	0.00015951, 	4.09222036, 	0.307191%, 	0.240000%, 	0.067191%
2020-04-08 18:11:55, 	OKEX        , 	Poloniex    , 	GAS/BTC, 	0.00016, 	5.0, 	0.00015951, 	4.09222036, 	0.307191%, 	0.240000%, 	0.067191%
2020-04-08 18:12:10, 	OKEX        , 	Poloniex    , 	GAS/BTC, 	0.00016, 	5.0, 	0.00015951, 	4.09222036, 	0.307191%, 	0.240000%, 	0.067191%
2020-04-08 18:12:25, 	OKEX        , 	Poloniex    , 	GAS/BTC, 	0.00016, 	5.0, 	0.00015951, 	4.09222036, 	0.307191%, 	0.240000%, 	0.067191%
2020-04-08 18:12:40, 	OKEX        , 	Poloniex    , 	GAS/BTC, 	0.00016, 	5.0, 	0.00015951, 	4.09222036, 	0.307191%, 	0.240000%, 	0.067191%
2020-04-08 18:12:55, 	OKEX        , 	Poloniex    , 	GAS/BTC, 	0.00016, 	5.0, 	0.00015951, 	4.09222036, 	0.307191%, 	0.240000%, 	0.067191%
2020-04-08 18:13:10, 	OKEX        , 	Poloniex    , 	GAS/BTC, 	0.00016, 	5.0, 	0.00015951, 	4.09222036, 	0.307191%, 	0.240000%, 	0.067191%
2020-04-08 18:13:25, 	OKEX        , 	Poloniex    , 	GAS/BTC, 	0.00016, 	5.0, 	0.00015951, 	4.09222036, 	0.307191%, 	0.240000%, 	0.067191%
2020-04-08 18:13:40, 	OKEX        , 	Poloniex    , 	GAS/BTC, 	0.00016, 	5.0, 	0.00015951, 	4.09222036, 	0.307191%, 	0.240000%, 	0.067191%
