2020-04-09 18:13:27, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	23161.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:13:42, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	23161.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:13:57, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	23161.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:14:12, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	23161.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:14:27, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	23161.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:14:42, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	23161.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:14:57, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	23161.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:15:12, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	23161.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:15:27, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	23161.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:15:42, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	23161.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:15:57, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	23161.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:16:12, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	23161.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:16:27, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	23161.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:16:42, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	25836.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:16:57, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	25836.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:17:12, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	25836.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:17:27, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	25836.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:17:42, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	25836.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:17:57, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	25836.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:18:12, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	25836.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:18:27, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	25836.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:18:42, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	25836.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:18:57, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	25836.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:19:12, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	25836.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:19:27, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	25836.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:19:42, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	25836.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:19:57, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	25836.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:20:12, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	25836.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:20:27, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	25836.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:20:42, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	25836.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:20:57, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	25836.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:21:12, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	25836.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:21:27, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	25836.0, 	0.393701%, 	0.190000%, 	0.203701%
