2020-04-09 07:35:51, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	11.39150106, 	0.001727, 	3.157, 	0.204401%, 	0.190000%, 	0.014401%
2020-04-09 07:36:06, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	11.39150106, 	0.001727, 	2.934, 	0.204401%, 	0.190000%, 	0.014401%
2020-04-09 07:36:21, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	11.39150106, 	0.001727, 	0.685, 	0.204401%, 	0.190000%, 	0.014401%
2020-04-09 07:36:36, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	11.39150106, 	0.001728, 	3.745, 	0.146412%, 	0.190000%, 	-0.043588%
2020-04-09 07:48:34, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	11.39150106, 	0.001727, 	7.262, 	0.204401%, 	0.190000%, 	0.014401%
2020-04-09 07:48:49, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	11.39150106, 	0.001727, 	7.262, 	0.204401%, 	0.190000%, 	0.014401%
2020-04-09 07:49:04, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	11.39150106, 	0.001725, 	3.33, 	0.320580%, 	0.190000%, 	0.130580%
2020-04-09 07:49:19, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	11.39150106, 	0.001725, 	3.33, 	0.320580%, 	0.190000%, 	0.130580%
2020-04-09 07:49:34, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	11.39150106, 	0.001725, 	3.33, 	0.320580%, 	0.190000%, 	0.130580%
2020-04-09 07:49:49, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	11.39150106, 	0.001725, 	3.33, 	0.320580%, 	0.190000%, 	0.130580%
2020-04-09 07:50:04, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	11.39150106, 	0.001727, 	15.161, 	0.204401%, 	0.190000%, 	0.014401%
2020-04-09 07:50:19, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	11.39150106, 	0.001727, 	15.161, 	0.204401%, 	0.190000%, 	0.014401%
2020-04-09 07:50:34, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	11.39150106, 	0.001727, 	15.161, 	0.204401%, 	0.190000%, 	0.014401%
2020-04-09 07:50:49, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	11.39150106, 	0.001727, 	15.161, 	0.204401%, 	0.190000%, 	0.014401%
2020-04-09 07:51:04, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	11.39150106, 	0.001727, 	15.161, 	0.204401%, 	0.190000%, 	0.014401%
2020-04-09 07:51:19, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	11.39150106, 	0.001725, 	3.883, 	0.320580%, 	0.190000%, 	0.130580%
2020-04-09 07:51:34, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	11.39150106, 	0.001725, 	3.883, 	0.320580%, 	0.190000%, 	0.130580%
2020-04-09 07:51:49, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	11.39150106, 	0.001725, 	3.883, 	0.320580%, 	0.190000%, 	0.130580%
2020-04-09 07:52:04, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	11.39150106, 	0.001725, 	3.883, 	0.320580%, 	0.190000%, 	0.130580%
2020-04-09 07:52:19, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	11.39150106, 	0.001727, 	7.262, 	0.204401%, 	0.190000%, 	0.014401%
2020-04-09 07:52:34, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	11.39150106, 	0.001727, 	7.262, 	0.204401%, 	0.190000%, 	0.014401%
2020-04-09 07:52:49, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	11.39150106, 	0.001727, 	7.262, 	0.204401%, 	0.190000%, 	0.014401%
2020-04-09 07:53:04, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	11.39150106, 	0.001727, 	7.262, 	0.204401%, 	0.190000%, 	0.014401%
2020-04-09 07:53:19, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	11.39150106, 	0.001724, 	3.533, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 07:53:34, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	11.39150106, 	0.001724, 	3.533, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 07:53:49, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	11.39150106, 	0.001724, 	3.533, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 07:54:04, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	11.39150106, 	0.001724, 	3.533, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 07:54:19, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	11.39150106, 	0.001726, 	6.99, 	0.262457%, 	0.190000%, 	0.072457%
2020-04-09 07:54:34, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	11.39150106, 	0.001726, 	6.99, 	0.262457%, 	0.190000%, 	0.072457%
2020-04-09 07:54:49, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	11.39150106, 	0.001726, 	6.99, 	0.262457%, 	0.190000%, 	0.072457%
2020-04-09 07:55:04, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	7.30452505, 	0.001726, 	6.99, 	0.262457%, 	0.190000%, 	0.072457%
2020-04-09 07:55:19, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	7.30452505, 	0.001724, 	4.602, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 07:55:34, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	7.30452505, 	0.001724, 	4.602, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 07:55:49, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	7.30452505, 	0.001724, 	4.602, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 07:56:04, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	7.30452505, 	0.001724, 	4.602, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 07:56:19, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	7.30452505, 	0.001727, 	7.371, 	0.204401%, 	0.190000%, 	0.014401%
2020-04-09 07:56:34, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	7.30452505, 	0.001727, 	7.371, 	0.204401%, 	0.190000%, 	0.014401%
2020-04-09 07:56:49, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	7.30452505, 	0.001727, 	7.371, 	0.204401%, 	0.190000%, 	0.014401%
2020-04-09 07:57:04, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	7.30452505, 	0.001727, 	7.371, 	0.204401%, 	0.190000%, 	0.014401%
2020-04-09 07:57:19, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	7.30452505, 	0.001727, 	7.371, 	0.204401%, 	0.190000%, 	0.014401%
2020-04-09 07:57:34, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	7.30452505, 	0.001724, 	4.086, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 07:57:49, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	7.30452505, 	0.001724, 	4.086, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 07:58:04, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	7.30452505, 	0.001724, 	4.086, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 07:58:19, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	7.30452505, 	0.001724, 	10.193, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 07:58:34, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	13.445, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 07:58:49, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	13.445, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 07:59:04, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	13.445, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 07:59:19, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	13.445, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 07:59:34, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	10.193, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 07:59:49, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	10.193, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:00:04, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	10.193, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:00:19, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	10.193, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:00:34, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	10.134, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:00:49, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	14.516, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:01:04, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	14.516, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:01:19, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	14.516, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:01:34, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	14.516, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:01:49, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	10.134, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:02:04, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	10.134, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:02:19, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	10.134, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:02:34, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	10.134, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:02:49, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	14.27, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:03:04, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	14.27, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:03:19, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	14.27, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:03:34, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	14.27, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:03:49, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	10.134, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:04:04, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	10.134, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:04:19, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	10.134, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:04:34, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	10.134, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:04:49, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	10.134, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:05:04, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	10.134, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:05:19, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	10.134, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:05:34, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	10.134, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:05:49, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	10.134, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:06:04, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	10.134, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:06:19, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	10.134, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:06:34, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	10.134, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:06:49, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	10.134, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:07:04, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	10.134, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:07:19, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	10.134, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:07:34, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	10.134, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:07:49, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	10.134, 	0.378770%, 	0.190000%, 	0.188770%
2020-04-09 08:08:04, 	Poloniex    , 	Binance     , 	DCR/BTC, 	0.00173053, 	0.00052505, 	0.001724, 	10.134, 	0.378770%, 	0.190000%, 	0.188770%
