2020-04-09 08:30:23, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00017524, 	0.00777065, 	0.0001748, 	2.79, 	0.251716%, 	0.190000%, 	0.061716%
2020-04-09 08:30:38, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00017524, 	0.00777065, 	0.0001748, 	2.79, 	0.251716%, 	0.190000%, 	0.061716%
2020-04-09 08:30:53, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00017524, 	0.00777065, 	0.0001747, 	2.79, 	0.309101%, 	0.190000%, 	0.119101%
2020-04-09 08:31:08, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00017524, 	0.00777065, 	0.0001747, 	2.79, 	0.309101%, 	0.190000%, 	0.119101%
2020-04-09 08:31:23, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00017524, 	0.00777065, 	0.0001747, 	2.79, 	0.309101%, 	0.190000%, 	0.119101%
2020-04-09 08:31:38, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00017524, 	0.00777065, 	0.0001746, 	2.79, 	0.366552%, 	0.190000%, 	0.176552%
2020-04-09 08:31:53, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00017524, 	0.00777065, 	0.0001746, 	2.79, 	0.366552%, 	0.190000%, 	0.176552%
2020-04-09 08:32:08, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00017524, 	0.00777065, 	0.0001741, 	372.33, 	0.654796%, 	0.190000%, 	0.464796%
2020-04-09 08:32:23, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00017524, 	0.00777065, 	0.0001746, 	2.79, 	0.366552%, 	0.190000%, 	0.176552%
2020-04-09 08:32:38, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00017333, 	1.1502, 	0.0001738, 	303.8, 	-0.270426%, 	0.190000%, 	-0.460426%
2020-04-09 12:51:04, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00017329, 	0.63413256, 	0.0001729, 	10.42, 	0.225564%, 	0.190000%, 	0.035564%
2020-04-09 12:51:19, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00017329, 	0.63413256, 	0.0001729, 	10.42, 	0.225564%, 	0.190000%, 	0.035564%
2020-04-09 12:51:34, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00017329, 	0.63413256, 	0.0001729, 	10.42, 	0.225564%, 	0.190000%, 	0.035564%
2020-04-09 12:51:49, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00017329, 	0.63413256, 	0.0001729, 	10.42, 	0.225564%, 	0.190000%, 	0.035564%
2020-04-09 12:52:04, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00017329, 	0.63413256, 	0.0001729, 	10.42, 	0.225564%, 	0.190000%, 	0.035564%
2020-04-09 12:52:19, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00017329, 	0.63413256, 	0.0001729, 	10.42, 	0.225564%, 	0.190000%, 	0.035564%
2020-04-09 12:52:34, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00017329, 	0.63413256, 	0.0001729, 	10.42, 	0.225564%, 	0.190000%, 	0.035564%
2020-04-09 12:52:49, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00017329, 	0.63413256, 	0.0001729, 	10.42, 	0.225564%, 	0.190000%, 	0.035564%
2020-04-09 12:53:04, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00017329, 	0.63413256, 	0.0001729, 	10.42, 	0.225564%, 	0.190000%, 	0.035564%
2020-04-09 12:53:19, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00017329, 	0.63413256, 	0.0001729, 	10.42, 	0.225564%, 	0.190000%, 	0.035564%
2020-04-09 12:53:34, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00017329, 	0.63413256, 	0.0001729, 	10.42, 	0.225564%, 	0.190000%, 	0.035564%
2020-04-09 12:53:49, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00017329, 	0.63413256, 	0.0001729, 	10.42, 	0.225564%, 	0.190000%, 	0.035564%
2020-04-09 12:54:04, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00017329, 	0.63413256, 	0.0001729, 	10.42, 	0.225564%, 	0.190000%, 	0.035564%
2020-04-09 12:54:19, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00017329, 	0.63413256, 	0.0001729, 	10.42, 	0.225564%, 	0.190000%, 	0.035564%
2020-04-09 12:54:34, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00017329, 	0.63413256, 	0.0001729, 	10.42, 	0.225564%, 	0.190000%, 	0.035564%
2020-04-09 12:54:49, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00017329, 	0.63413256, 	0.0001729, 	10.42, 	0.225564%, 	0.190000%, 	0.035564%
2020-04-09 12:55:04, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00017329, 	0.63413256, 	0.0001729, 	10.42, 	0.225564%, 	0.190000%, 	0.035564%
