2020-04-11 11:36:12, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01233497, 	89.42468364, 	0.01229, 	461423.9, 	0.365907%, 	0.190000%, 	0.175907%
2020-04-11 11:36:27, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01232, 	998.0, 	0.01229, 	88817.1, 	0.244101%, 	0.190000%, 	0.054101%
2020-04-11 11:36:42, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01233497, 	89.42468364, 	0.01229, 	458408.1, 	0.365907%, 	0.190000%, 	0.175907%
2020-04-11 11:36:57, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01232, 	998.0, 	0.01229, 	85432.4, 	0.244101%, 	0.190000%, 	0.054101%
2020-04-11 11:37:12, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01233497, 	89.42468364, 	0.01229, 	85432.4, 	0.365907%, 	0.190000%, 	0.175907%
2020-04-11 11:37:27, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01233497, 	89.42468364, 	0.01229, 	484021.8, 	0.365907%, 	0.190000%, 	0.175907%
2020-04-11 11:37:42, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01233495, 	89.42482864, 	0.01229, 	484021.8, 	0.365745%, 	0.190000%, 	0.175745%
2020-04-11 11:37:57, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01232, 	998.0, 	0.01229, 	484021.8, 	0.244101%, 	0.190000%, 	0.054101%
2020-04-11 11:38:12, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01232049, 	89.5297825, 	0.01229, 	484021.8, 	0.248088%, 	0.190000%, 	0.058088%
2020-04-11 11:38:27, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01232049, 	89.5297825, 	0.01229, 	484011.0, 	0.248088%, 	0.190000%, 	0.058088%
2020-04-11 11:38:42, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01232, 	998.0, 	0.01229, 	484011.0, 	0.244101%, 	0.190000%, 	0.054101%
2020-04-11 11:38:57, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01233493, 	89.42497363, 	0.01228, 	88817.1, 	0.447313%, 	0.190000%, 	0.257313%
2020-04-11 11:39:12, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01233492, 	89.42504613, 	0.01228, 	88817.1, 	0.447231%, 	0.190000%, 	0.257231%
2020-04-11 11:39:27, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01232, 	998.0, 	0.01228, 	562817.1, 	0.325733%, 	0.190000%, 	0.135733%
2020-04-11 11:39:42, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01232, 	998.0, 	0.01228, 	88817.1, 	0.325733%, 	0.190000%, 	0.135733%
2020-04-11 11:39:58, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01232, 	998.0, 	0.01228, 	88817.1, 	0.325733%, 	0.190000%, 	0.135733%
2020-04-11 11:40:13, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01232998, 	89.46087423, 	0.01228, 	24801.0, 	0.407003%, 	0.190000%, 	0.217003%
2020-04-11 11:40:28, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01232997, 	89.46094678, 	0.01228, 	24801.0, 	0.406922%, 	0.190000%, 	0.216922%
