2020-04-10 11:36:25, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	150.86813186, 	2.72e-06, 	16017.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 11:36:40, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	150.86813186, 	2.72e-06, 	16017.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 11:36:55, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	150.86813186, 	2.71e-06, 	1857.0, 	0.738007%, 	0.190000%, 	0.548007%
2020-04-10 11:37:10, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.71e-06, 	1857.0, 	0.738007%, 	0.190000%, 	0.548007%
2020-04-10 11:37:25, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	22760.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 11:37:40, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.71e-06, 	3810.0, 	0.738007%, 	0.190000%, 	0.548007%
2020-04-10 11:37:55, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.71e-06, 	21337.0, 	0.738007%, 	0.190000%, 	0.548007%
2020-04-10 11:38:10, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.71e-06, 	21337.0, 	0.738007%, 	0.190000%, 	0.548007%
2020-04-10 11:38:25, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.71e-06, 	2509.0, 	0.738007%, 	0.190000%, 	0.548007%
2020-04-10 11:38:40, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.71e-06, 	2509.0, 	0.738007%, 	0.190000%, 	0.548007%
2020-04-10 11:38:55, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.71e-06, 	2509.0, 	0.738007%, 	0.190000%, 	0.548007%
2020-04-10 11:39:10, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.71e-06, 	2509.0, 	0.738007%, 	0.190000%, 	0.548007%
2020-04-10 11:39:25, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.71e-06, 	2509.0, 	0.738007%, 	0.190000%, 	0.548007%
2020-04-10 11:39:40, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.71e-06, 	2509.0, 	0.738007%, 	0.190000%, 	0.548007%
2020-04-10 11:39:55, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.71e-06, 	2509.0, 	0.738007%, 	0.190000%, 	0.548007%
2020-04-10 11:40:10, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.71e-06, 	2373.0, 	0.738007%, 	0.190000%, 	0.548007%
2020-04-10 11:40:25, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.71e-06, 	2373.0, 	0.738007%, 	0.190000%, 	0.548007%
2020-04-10 11:40:40, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.71e-06, 	2373.0, 	0.738007%, 	0.190000%, 	0.548007%
2020-04-10 11:40:55, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.71e-06, 	2373.0, 	0.738007%, 	0.190000%, 	0.548007%
2020-04-10 11:41:10, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.71e-06, 	2336.0, 	0.738007%, 	0.190000%, 	0.548007%
2020-04-10 11:41:25, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.71e-06, 	2336.0, 	0.738007%, 	0.190000%, 	0.548007%
