2020-04-10 10:09:29, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	310651.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:09:44, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	310564.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:09:59, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.31e-06, 	87.0, 	2.164502%, 	0.190000%, 	1.974502%
2020-04-10 10:10:14, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.31e-06, 	9656.0, 	2.164502%, 	0.190000%, 	1.974502%
2020-04-10 10:10:29, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.31e-06, 	9656.0, 	2.164502%, 	0.190000%, 	1.974502%
2020-04-10 10:10:44, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.31e-06, 	2324.0, 	2.164502%, 	0.190000%, 	1.974502%
2020-04-10 10:10:59, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.31e-06, 	324.0, 	2.164502%, 	0.190000%, 	1.974502%
2020-04-10 10:11:14, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.31e-06, 	324.0, 	2.164502%, 	0.190000%, 	1.974502%
2020-04-10 10:11:29, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.31e-06, 	265.0, 	2.164502%, 	0.190000%, 	1.974502%
2020-04-10 10:11:44, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.31e-06, 	265.0, 	2.164502%, 	0.190000%, 	1.974502%
2020-04-10 10:11:59, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.31e-06, 	265.0, 	2.164502%, 	0.190000%, 	1.974502%
2020-04-10 10:12:14, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.31e-06, 	265.0, 	2.164502%, 	0.190000%, 	1.974502%
2020-04-10 10:12:29, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.31e-06, 	265.0, 	2.164502%, 	0.190000%, 	1.974502%
2020-04-10 10:12:44, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.31e-06, 	265.0, 	2.164502%, 	0.190000%, 	1.974502%
2020-04-10 10:12:59, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.31e-06, 	265.0, 	2.164502%, 	0.190000%, 	1.974502%
2020-04-10 10:13:14, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.31e-06, 	265.0, 	2.164502%, 	0.190000%, 	1.974502%
2020-04-10 10:13:29, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.31e-06, 	265.0, 	2.164502%, 	0.190000%, 	1.974502%
2020-04-10 10:13:44, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	298500.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:13:59, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	298500.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:14:14, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	298500.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:14:29, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	336329.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:14:44, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	336322.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:14:59, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	298500.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:15:14, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	298500.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:15:29, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	309981.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:15:44, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	298500.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:15:59, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	298500.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:16:14, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	298500.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:16:29, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	336333.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:16:44, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	336333.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:16:59, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	298500.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:17:14, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	298500.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:17:29, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	298500.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:17:44, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	298500.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:17:59, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	298500.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:18:14, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	298500.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:18:29, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	336371.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:18:44, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	336384.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:18:59, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	298500.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:19:14, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	298500.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:19:29, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	298500.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:19:44, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	298500.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:19:59, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	298500.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:20:14, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	298500.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:20:29, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	298500.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:20:44, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	298500.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:20:59, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	298500.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:21:14, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	298500.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:21:29, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	298500.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:21:44, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	298500.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:21:59, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	298500.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:22:14, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	324901.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:22:29, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	336382.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:22:44, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	336382.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:22:59, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	298500.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:23:14, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	298500.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:23:29, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	298500.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:23:44, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	298500.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:23:59, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	298500.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:24:14, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	298500.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:24:29, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	298500.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:24:44, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	298500.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:24:59, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	298500.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:25:14, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	298500.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:25:29, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	298500.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:25:44, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	298500.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:25:59, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	298564.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:26:14, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	298564.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:26:29, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	298564.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:26:44, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	298564.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:26:59, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	298564.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:27:14, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	298564.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:27:29, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	298500.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:27:44, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	298564.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:27:59, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	324856.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:28:14, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	298564.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:28:29, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	298564.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:28:44, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	298564.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:28:59, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	298500.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:29:14, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	298564.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:29:29, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	298564.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:29:44, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	298564.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:29:59, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	298564.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:30:14, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	298564.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:30:29, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	298500.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:30:44, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	298500.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:30:59, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	298575.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:31:14, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	298575.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:31:29, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	298575.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:31:44, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	298575.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:31:59, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	298575.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:32:14, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	323318.0, 	1.724138%, 	0.190000%, 	1.534138%
