2020-04-10 09:57:20, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	33376.616, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 09:57:35, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	33376.616, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 09:57:50, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	33376.616, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 09:58:05, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	43852.386, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 09:58:20, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	43852.386, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 09:58:35, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	33376.616, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 09:58:50, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	33376.616, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 09:59:05, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	33376.616, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 09:59:20, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	33376.616, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 09:59:35, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	33376.616, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 09:59:50, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	33376.616, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:00:05, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	33376.616, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:00:20, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	33376.616, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:00:35, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	33376.616, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:00:50, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.34e-06, 	52336.57465801, 	0.854701%, 	0.290000%, 	0.564701%
2020-04-10 10:01:05, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.34e-06, 	69034.62319801, 	0.854701%, 	0.290000%, 	0.564701%
2020-04-10 10:01:20, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.34e-06, 	102546.36719801, 	0.854701%, 	0.290000%, 	0.564701%
2020-04-10 10:01:35, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.34e-06, 	19297.77865801, 	0.854701%, 	0.290000%, 	0.564701%
2020-04-10 10:01:50, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.34e-06, 	44050.168, 	0.854701%, 	0.290000%, 	0.564701%
2020-04-10 10:02:05, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.34e-06, 	52524.74427119, 	0.854701%, 	0.290000%, 	0.564701%
2020-04-10 10:02:20, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.34e-06, 	52524.74427119, 	0.854701%, 	0.290000%, 	0.564701%
2020-04-10 10:02:35, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.34e-06, 	52524.74427119, 	0.854701%, 	0.290000%, 	0.564701%
2020-04-10 10:02:50, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.34e-06, 	52524.74427119, 	0.854701%, 	0.290000%, 	0.564701%
2020-04-10 10:03:05, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.34e-06, 	44050.168, 	0.854701%, 	0.290000%, 	0.564701%
2020-04-10 10:03:20, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.34e-06, 	52524.74427119, 	0.854701%, 	0.290000%, 	0.564701%
2020-04-10 10:03:35, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.34e-06, 	52524.74427119, 	0.854701%, 	0.290000%, 	0.564701%
2020-04-10 10:03:50, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.34e-06, 	52524.74427119, 	0.854701%, 	0.290000%, 	0.564701%
2020-04-10 10:04:05, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:04:20, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:04:35, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:04:50, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:05:05, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:05:20, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:05:35, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
