2020-04-10 04:59:29, 	Poloniex    , 	Bittrex     , 	BNT/BTC, 	2.665e-05, 	901.36417519, 	2.653e-05, 	1896.81335356, 	0.452318%, 	0.340000%, 	0.112318%
2020-04-10 04:59:44, 	Poloniex    , 	Bittrex     , 	BNT/BTC, 	2.665e-05, 	901.36417519, 	2.65e-05, 	391.21240695, 	0.566038%, 	0.340000%, 	0.226038%
2020-04-10 04:59:59, 	Poloniex    , 	Bittrex     , 	BNT/BTC, 	2.665e-05, 	901.36417519, 	2.648e-05, 	290.78965443, 	0.641994%, 	0.340000%, 	0.301994%
2020-04-10 05:00:14, 	Poloniex    , 	Bittrex     , 	BNT/BTC, 	2.665e-05, 	901.36417519, 	2.663e-05, 	447.49562415, 	0.075103%, 	0.340000%, 	-0.264897%
2020-04-10 05:00:48, 	Poloniex    , 	Bittrex     , 	BNT/BTC, 	2.665e-05, 	901.36417519, 	2.653e-05, 	2256.54879739, 	0.452318%, 	0.340000%, 	0.112318%
2020-04-10 05:01:03, 	Poloniex    , 	Bittrex     , 	BNT/BTC, 	2.665e-05, 	901.36417519, 	2.65e-05, 	1897.89333839, 	0.566038%, 	0.340000%, 	0.226038%
2020-04-10 05:01:18, 	Poloniex    , 	Bittrex     , 	BNT/BTC, 	2.665e-05, 	901.36417519, 	2.65e-05, 	1897.89333839, 	0.566038%, 	0.340000%, 	0.226038%
2020-04-10 05:01:33, 	Poloniex    , 	Bittrex     , 	BNT/BTC, 	2.665e-05, 	901.36417519, 	2.648e-05, 	1899.33523266, 	0.641994%, 	0.340000%, 	0.301994%
2020-04-10 05:01:48, 	Poloniex    , 	Bittrex     , 	BNT/BTC, 	2.665e-05, 	901.36417519, 	2.643e-05, 	271.87714152, 	0.832387%, 	0.340000%, 	0.492387%
2020-04-10 05:02:03, 	Poloniex    , 	Bittrex     , 	BNT/BTC, 	2.665e-05, 	901.36417519, 	2.649e-05, 	1901.14068441, 	0.604002%, 	0.340000%, 	0.264002%
2020-04-10 05:02:18, 	Poloniex    , 	Bittrex     , 	BNT/BTC, 	2.665e-05, 	901.36417519, 	2.647e-05, 	1898.97455374, 	0.680015%, 	0.340000%, 	0.340015%
2020-04-10 05:02:33, 	Poloniex    , 	Bittrex     , 	BNT/BTC, 	2.665e-05, 	901.36417519, 	2.645e-05, 	1899.69604863, 	0.756144%, 	0.340000%, 	0.416144%
2020-04-10 05:02:48, 	Poloniex    , 	Bittrex     , 	BNT/BTC, 	2.665e-05, 	901.36417519, 	2.642e-05, 	271.87714152, 	0.870553%, 	0.340000%, 	0.530553%
2020-04-10 05:03:03, 	Poloniex    , 	Bittrex     , 	BNT/BTC, 	2.665e-05, 	901.36417519, 	2.641e-05, 	271.87714152, 	0.908747%, 	0.340000%, 	0.568747%
2020-04-10 05:03:18, 	Poloniex    , 	Bittrex     , 	BNT/BTC, 	2.665e-05, 	901.36417519, 	2.65e-05, 	271.87714152, 	0.566038%, 	0.340000%, 	0.226038%
2020-04-10 05:03:33, 	Poloniex    , 	Bittrex     , 	BNT/BTC, 	2.665e-05, 	901.36417519, 	2.65e-05, 	271.87714152, 	0.566038%, 	0.340000%, 	0.226038%
2020-04-10 05:03:48, 	Poloniex    , 	Bittrex     , 	BNT/BTC, 	2.665e-05, 	901.36417519, 	2.65e-05, 	271.87714152, 	0.566038%, 	0.340000%, 	0.226038%
2020-04-10 05:04:03, 	Poloniex    , 	Bittrex     , 	BNT/BTC, 	2.665e-05, 	901.36417519, 	2.65e-05, 	271.87714152, 	0.566038%, 	0.340000%, 	0.226038%
2020-04-10 05:04:18, 	Poloniex    , 	Bittrex     , 	BNT/BTC, 	2.665e-05, 	901.36417519, 	2.65e-05, 	271.87714152, 	0.566038%, 	0.340000%, 	0.226038%
2020-04-10 05:04:33, 	Poloniex    , 	Bittrex     , 	BNT/BTC, 	2.665e-05, 	901.36417519, 	2.65e-05, 	271.87714152, 	0.566038%, 	0.340000%, 	0.226038%
2020-04-10 05:04:48, 	Poloniex    , 	Bittrex     , 	BNT/BTC, 	2.665e-05, 	0.36417519, 	2.65e-05, 	271.87714152, 	0.566038%, 	0.340000%, 	0.226038%
2020-04-10 05:05:03, 	Poloniex    , 	Bittrex     , 	BNT/BTC, 	2.646e-05, 	1889.64474679, 	2.65e-05, 	271.87714152, 	-0.150943%, 	0.340000%, 	-0.490943%
2020-04-10 05:14:06, 	Poloniex    , 	Bittrex     , 	BNT/BTC, 	2.646e-05, 	1889.64474679, 	2.633e-05, 	253.34998869, 	0.493733%, 	0.340000%, 	0.153733%
2020-04-10 05:14:21, 	Poloniex    , 	Bittrex     , 	BNT/BTC, 	2.646e-05, 	1889.64474679, 	2.631e-05, 	253.44657656, 	0.570125%, 	0.340000%, 	0.230125%
2020-04-10 05:14:36, 	Poloniex    , 	Bittrex     , 	BNT/BTC, 	2.646e-05, 	1889.64474679, 	2.627e-05, 	1907.66882869, 	0.723258%, 	0.340000%, 	0.383258%
2020-04-10 05:14:51, 	Poloniex    , 	Bittrex     , 	BNT/BTC, 	2.646e-05, 	1889.64474679, 	2.667e-05, 	1893.22226429, 	-0.787402%, 	0.340000%, 	-1.127402%
