2020-04-09 11:22:08, 	Poloniex    , 	Bittrex     , 	STORJ/BTC, 	1.396e-05, 	15.4122, 	1.388e-05, 	38.26, 	0.576369%, 	0.340000%, 	0.236369%
2020-04-09 11:22:23, 	Poloniex    , 	Bittrex     , 	STORJ/BTC, 	1.396e-05, 	15.4122, 	1.388e-05, 	38.26, 	0.576369%, 	0.340000%, 	0.236369%
2020-04-09 11:22:38, 	Poloniex    , 	Bittrex     , 	STORJ/BTC, 	1.396e-05, 	15.4122, 	1.388e-05, 	38.26, 	0.576369%, 	0.340000%, 	0.236369%
2020-04-09 11:22:53, 	Poloniex    , 	Bittrex     , 	STORJ/BTC, 	1.396e-05, 	15.4122, 	1.388e-05, 	38.26, 	0.576369%, 	0.340000%, 	0.236369%
2020-04-09 11:23:08, 	Poloniex    , 	Bittrex     , 	STORJ/BTC, 	1.396e-05, 	15.4122, 	1.388e-05, 	38.26, 	0.576369%, 	0.340000%, 	0.236369%
2020-04-09 11:23:23, 	Poloniex    , 	Bittrex     , 	STORJ/BTC, 	1.396e-05, 	15.4122, 	1.388e-05, 	38.26, 	0.576369%, 	0.340000%, 	0.236369%
2020-04-09 11:23:38, 	Poloniex    , 	Bittrex     , 	STORJ/BTC, 	1.396e-05, 	15.4122, 	1.388e-05, 	38.26, 	0.576369%, 	0.340000%, 	0.236369%
2020-04-09 11:23:53, 	Poloniex    , 	Bittrex     , 	STORJ/BTC, 	1.396e-05, 	15.4122, 	1.388e-05, 	38.26, 	0.576369%, 	0.340000%, 	0.236369%
2020-04-09 11:24:08, 	Poloniex    , 	Bittrex     , 	STORJ/BTC, 	1.396e-05, 	15.4122, 	1.388e-05, 	38.26, 	0.576369%, 	0.340000%, 	0.236369%
2020-04-09 11:24:23, 	Poloniex    , 	Bittrex     , 	STORJ/BTC, 	1.396e-05, 	15.4122, 	1.388e-05, 	38.26, 	0.576369%, 	0.340000%, 	0.236369%
2020-04-09 11:24:38, 	Poloniex    , 	Bittrex     , 	STORJ/BTC, 	1.396e-05, 	15.4122, 	1.388e-05, 	38.26, 	0.576369%, 	0.340000%, 	0.236369%
2020-04-09 11:24:53, 	Poloniex    , 	Bittrex     , 	STORJ/BTC, 	1.396e-05, 	15.4122, 	1.388e-05, 	38.26, 	0.576369%, 	0.340000%, 	0.236369%
2020-04-09 11:25:08, 	Poloniex    , 	Bittrex     , 	STORJ/BTC, 	1.396e-05, 	15.4122, 	1.388e-05, 	38.26, 	0.576369%, 	0.340000%, 	0.236369%
2020-04-09 11:25:23, 	Poloniex    , 	Bittrex     , 	STORJ/BTC, 	1.396e-05, 	15.4122, 	1.388e-05, 	38.26, 	0.576369%, 	0.340000%, 	0.236369%
2020-04-09 11:25:38, 	Poloniex    , 	Bittrex     , 	STORJ/BTC, 	1.396e-05, 	15.4122, 	1.388e-05, 	38.26, 	0.576369%, 	0.340000%, 	0.236369%
2020-04-09 11:25:53, 	Poloniex    , 	Bittrex     , 	STORJ/BTC, 	1.396e-05, 	15.4122, 	1.388e-05, 	38.26, 	0.576369%, 	0.340000%, 	0.236369%
