2020-04-11 10:57:34, 	Poloniex    , 	Bittrex     , 	STRAT/BTC, 	3.983e-05, 	11.26638139, 	3.96e-05, 	485.75972223, 	0.580808%, 	0.340000%, 	0.240808%
2020-04-11 10:57:49, 	Poloniex    , 	Bittrex     , 	STRAT/BTC, 	3.983e-05, 	11.26638139, 	3.96e-05, 	485.75972223, 	0.580808%, 	0.340000%, 	0.240808%
2020-04-11 10:58:04, 	Poloniex    , 	Bittrex     , 	STRAT/BTC, 	3.983e-05, 	0.27738139, 	3.96e-05, 	485.75972223, 	0.580808%, 	0.340000%, 	0.240808%
2020-04-11 10:58:19, 	Poloniex    , 	Bittrex     , 	STRAT/BTC, 	3.983e-05, 	0.27738139, 	3.96e-05, 	485.75972223, 	0.580808%, 	0.340000%, 	0.240808%
2020-04-11 10:58:34, 	Poloniex    , 	Bittrex     , 	STRAT/BTC, 	3.983e-05, 	0.27738139, 	3.96e-05, 	485.75972223, 	0.580808%, 	0.340000%, 	0.240808%
2020-04-11 10:58:49, 	Poloniex    , 	Bittrex     , 	STRAT/BTC, 	3.983e-05, 	0.27738139, 	3.96e-05, 	485.75972223, 	0.580808%, 	0.340000%, 	0.240808%
2020-04-11 10:59:04, 	Poloniex    , 	Bittrex     , 	STRAT/BTC, 	3.983e-05, 	0.27738139, 	3.96e-05, 	485.75972223, 	0.580808%, 	0.340000%, 	0.240808%
2020-04-11 10:59:19, 	Poloniex    , 	Bittrex     , 	STRAT/BTC, 	3.983e-05, 	0.27738139, 	3.96e-05, 	485.75972223, 	0.580808%, 	0.340000%, 	0.240808%
2020-04-11 10:59:34, 	Poloniex    , 	Bittrex     , 	STRAT/BTC, 	3.983e-05, 	0.27738139, 	3.96e-05, 	485.75972223, 	0.580808%, 	0.340000%, 	0.240808%
2020-04-11 10:59:49, 	Poloniex    , 	Bittrex     , 	STRAT/BTC, 	3.983e-05, 	0.27738139, 	3.96e-05, 	485.75972223, 	0.580808%, 	0.340000%, 	0.240808%
2020-04-11 11:00:04, 	Poloniex    , 	Bittrex     , 	STRAT/BTC, 	3.983e-05, 	0.27738139, 	3.96e-05, 	485.75972223, 	0.580808%, 	0.340000%, 	0.240808%
2020-04-11 11:00:19, 	Poloniex    , 	Bittrex     , 	STRAT/BTC, 	3.983e-05, 	0.27738139, 	3.96e-05, 	485.75972223, 	0.580808%, 	0.340000%, 	0.240808%
2020-04-11 11:00:34, 	Poloniex    , 	Bittrex     , 	STRAT/BTC, 	3.983e-05, 	0.27738139, 	3.96e-05, 	485.75972223, 	0.580808%, 	0.340000%, 	0.240808%
2020-04-11 11:00:49, 	Poloniex    , 	Bittrex     , 	STRAT/BTC, 	3.983e-05, 	0.27738139, 	3.96e-05, 	485.75972223, 	0.580808%, 	0.340000%, 	0.240808%
2020-04-11 11:01:04, 	Poloniex    , 	Bittrex     , 	STRAT/BTC, 	3.983e-05, 	0.27738139, 	3.96e-05, 	485.75972223, 	0.580808%, 	0.340000%, 	0.240808%
2020-04-11 11:01:19, 	Poloniex    , 	Bittrex     , 	STRAT/BTC, 	3.983e-05, 	0.27738139, 	3.96e-05, 	485.75972223, 	0.580808%, 	0.340000%, 	0.240808%
2020-04-11 11:01:34, 	Poloniex    , 	Bittrex     , 	STRAT/BTC, 	3.983e-05, 	0.27738139, 	3.96e-05, 	485.75972223, 	0.580808%, 	0.340000%, 	0.240808%
2020-04-11 11:01:49, 	Poloniex    , 	Bittrex     , 	STRAT/BTC, 	3.983e-05, 	0.27738139, 	3.96e-05, 	485.75972223, 	0.580808%, 	0.340000%, 	0.240808%
2020-04-11 11:02:04, 	Poloniex    , 	Bittrex     , 	STRAT/BTC, 	3.983e-05, 	0.27738139, 	3.96e-05, 	485.75972223, 	0.580808%, 	0.340000%, 	0.240808%
2020-04-11 11:02:19, 	Poloniex    , 	Bittrex     , 	STRAT/BTC, 	3.983e-05, 	0.27738139, 	3.96e-05, 	485.75972223, 	0.580808%, 	0.340000%, 	0.240808%
2020-04-11 11:02:34, 	Poloniex    , 	Bittrex     , 	STRAT/BTC, 	3.983e-05, 	0.27738139, 	3.96e-05, 	485.75972223, 	0.580808%, 	0.340000%, 	0.240808%
2020-04-11 11:02:49, 	Poloniex    , 	Bittrex     , 	STRAT/BTC, 	3.959e-05, 	6.48510758, 	3.959e-05, 	2999.99999999, 	0.000000%, 	0.340000%, 	-0.340000%
