2020-04-07 23:41:31, 	Poloniex    , 	Coinbase Pro, 	BTC/USDC, 	7182.54212867, 	0.80729641, 	7122.69, 	0.084, 	0.840302%, 	0.590000%, 	0.250302%
2020-04-07 23:42:01, 	Poloniex    , 	Coinbase Pro, 	BTC/USDC, 	7193.74016266, 	0.25, 	7122.64, 	0.25, 	0.998228%, 	0.590000%, 	0.408228%
2020-04-07 23:42:31, 	Poloniex    , 	Coinbase Pro, 	BTC/USDC, 	7184.64842341, 	0.25, 	7122.6, 	0.25, 	0.871149%, 	0.590000%, 	0.281149%
2020-04-07 23:43:01, 	Poloniex    , 	Coinbase Pro, 	BTC/USDC, 	7195.50741901, 	0.25, 	7122.56, 	0.25, 	1.024174%, 	0.590000%, 	0.434174%
2020-04-07 23:43:31, 	Poloniex    , 	Coinbase Pro, 	BTC/USDC, 	7197.85521051, 	0.7315, 	7122.42, 	0.25, 	1.059123%, 	0.590000%, 	0.469123%
2020-04-07 23:44:01, 	Poloniex    , 	Coinbase Pro, 	BTC/USDC, 	7198.37438232, 	0.123, 	7122.22, 	0.25, 	1.069251%, 	0.590000%, 	0.479251%
2020-04-07 23:44:31, 	Poloniex    , 	Coinbase Pro, 	BTC/USDC, 	7198.37438232, 	0.7315, 	7122.16, 	0.25, 	1.070102%, 	0.590000%, 	0.480102%
2020-04-07 23:45:01, 	Poloniex    , 	Coinbase Pro, 	BTC/USDC, 	7193.44779492, 	0.104, 	7122.0, 	0.25, 	1.003198%, 	0.590000%, 	0.413198%
2020-04-07 23:45:31, 	Poloniex    , 	Coinbase Pro, 	BTC/USDC, 	7189.96873483, 	9.39e-06, 	7122.03, 	0.87194037, 	0.953924%, 	0.590000%, 	0.363924%
2020-04-07 23:46:01, 	Poloniex    , 	Coinbase Pro, 	BTC/USDC, 	7190.02395158, 	0.006, 	7153.03, 	0.083, 	0.517179%, 	0.590000%, 	-0.072821%
2020-04-07 23:47:46, 	Poloniex    , 	Coinbase Pro, 	BTC/USDC, 	7195.06824293, 	0.00166613, 	7132.8, 	0.25, 	0.872985%, 	0.590000%, 	0.282985%
2020-04-07 23:48:16, 	Poloniex    , 	Coinbase Pro, 	BTC/USDC, 	7194.70649876, 	0.084, 	7131.73, 	0.25, 	0.883047%, 	0.590000%, 	0.293047%
2020-04-07 23:48:46, 	Poloniex    , 	Coinbase Pro, 	BTC/USDC, 	7185.46390127, 	0.00040699, 	7126.31, 	0.25, 	0.830078%, 	0.590000%, 	0.240078%
2020-04-07 23:49:16, 	Poloniex    , 	Coinbase Pro, 	BTC/USDC, 	7192.61932243, 	0.311, 	7124.78, 	0.25, 	0.952160%, 	0.590000%, 	0.362160%
2020-04-07 23:49:46, 	Poloniex    , 	Coinbase Pro, 	BTC/USDC, 	7188.26702026, 	0.02930862, 	7124.65, 	0.25, 	0.892914%, 	0.590000%, 	0.302914%
2020-04-07 23:50:16, 	Poloniex    , 	Coinbase Pro, 	BTC/USDC, 	7183.8544092, 	0.2, 	7124.55, 	0.25, 	0.832395%, 	0.590000%, 	0.242395%
2020-04-07 23:50:46, 	Poloniex    , 	Coinbase Pro, 	BTC/USDC, 	7187.08835382, 	0.25, 	7123.75, 	0.25, 	0.889115%, 	0.590000%, 	0.299115%
2020-04-07 23:51:16, 	Poloniex    , 	Coinbase Pro, 	BTC/USDC, 	7183.01466756, 	0.25, 	7123.27, 	0.084, 	0.838725%, 	0.590000%, 	0.248725%
2020-04-07 23:51:46, 	Poloniex    , 	Coinbase Pro, 	BTC/USDC, 	7180.25804475, 	0.25, 	7123.27, 	0.084, 	0.800026%, 	0.590000%, 	0.210026%
2020-04-07 23:52:16, 	Poloniex    , 	Coinbase Pro, 	BTC/USDC, 	7180.42988628, 	0.25, 	7122.86, 	0.25, 	0.808241%, 	0.590000%, 	0.218241%
2020-04-07 23:52:46, 	Poloniex    , 	Coinbase Pro, 	BTC/USDC, 	7181.29148671, 	0.2, 	7122.84, 	0.25, 	0.820621%, 	0.590000%, 	0.230621%
2020-04-07 23:53:16, 	Poloniex    , 	Coinbase Pro, 	BTC/USDC, 	7183.56466599, 	0.071, 	7122.58, 	0.25, 	0.856216%, 	0.590000%, 	0.266216%
2020-04-07 23:53:46, 	Poloniex    , 	Coinbase Pro, 	BTC/USDC, 	7180.50107174, 	0.5, 	7111.51, 	0.014, 	0.970133%, 	0.590000%, 	0.380133%
2020-04-07 23:54:16, 	Poloniex    , 	Coinbase Pro, 	BTC/USDC, 	7174.67496103, 	0.5, 	7102.12, 	0.014, 	1.021596%, 	0.590000%, 	0.431596%
2020-04-07 23:54:46, 	Poloniex    , 	Coinbase Pro, 	BTC/USDC, 	7173.86058246, 	0.043, 	7121.64, 	0.25, 	0.733266%, 	0.590000%, 	0.143266%
2020-04-07 23:55:16, 	Poloniex    , 	Coinbase Pro, 	BTC/USDC, 	7174.75021322, 	0.278, 	7117.67, 	0.002, 	0.801951%, 	0.590000%, 	0.211951%
2020-04-07 23:55:46, 	Poloniex    , 	Coinbase Pro, 	BTC/USDC, 	7172.91288697, 	0.25, 	7122.45, 	0.152, 	0.708505%, 	0.590000%, 	0.118505%
2020-04-07 23:56:16, 	Poloniex    , 	Coinbase Pro, 	BTC/USDC, 	7177.48257099, 	0.25, 	7122.36, 	2.4325, 	0.773937%, 	0.590000%, 	0.183937%
2020-04-07 23:56:46, 	Poloniex    , 	Coinbase Pro, 	BTC/USDC, 	7179.70400866, 	0.25, 	7122.35, 	2.4325, 	0.805268%, 	0.590000%, 	0.215268%
