2020-04-11 14:24:09, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.996e-05, 	130.2, 	0.757576%, 	0.590000%, 	0.167576%
2020-04-11 14:24:24, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.996e-05, 	130.2, 	0.757576%, 	0.590000%, 	0.167576%
2020-04-11 14:24:39, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.996e-05, 	130.2, 	0.757576%, 	0.590000%, 	0.167576%
2020-04-11 14:24:54, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.996e-05, 	130.2, 	0.757576%, 	0.590000%, 	0.167576%
2020-04-11 14:25:09, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.996e-05, 	130.2, 	0.757576%, 	0.590000%, 	0.167576%
2020-04-11 14:25:24, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.996e-05, 	130.2, 	0.757576%, 	0.590000%, 	0.167576%
2020-04-11 14:25:39, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.996e-05, 	130.2, 	0.757576%, 	0.590000%, 	0.167576%
2020-04-11 14:25:54, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.004e-05, 	500.0, 	0.642490%, 	0.590000%, 	0.052490%
2020-04-11 14:26:09, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.004e-05, 	500.0, 	0.642490%, 	0.590000%, 	0.052490%
2020-04-11 14:26:24, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.004e-05, 	1445.9, 	0.642490%, 	0.590000%, 	0.052490%
2020-04-11 14:26:39, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.004e-05, 	1445.9, 	0.642490%, 	0.590000%, 	0.052490%
2020-04-11 14:26:54, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.004e-05, 	1445.9, 	0.642490%, 	0.590000%, 	0.052490%
2020-04-11 14:27:09, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.004e-05, 	1445.9, 	0.642490%, 	0.590000%, 	0.052490%
2020-04-11 14:27:24, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.004e-05, 	1445.9, 	0.642490%, 	0.590000%, 	0.052490%
