2020-04-10 16:30:41, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.00173601, 	0.07189936, 	0.00173, 	6.23455025, 	0.347399%, 	0.240000%, 	0.107399%
2020-04-10 16:30:56, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	6.23455025, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:31:11, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	6.23455025, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:31:26, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	6.23455025, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:31:41, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	6.23455025, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:31:56, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	6.23455025, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:32:11, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	6.23455025, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:32:26, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	6.23455025, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:32:41, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	8.21455025, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:32:56, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	6.23455025, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:33:11, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	6.23455025, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:33:26, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	6.23455025, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:33:41, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	6.23455025, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:33:56, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	6.23455025, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:34:11, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	6.23455025, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:34:26, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	6.23455025, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:34:41, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	6.23455025, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:34:56, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	6.23455025, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:35:11, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	6.23455025, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:35:26, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	6.23455025, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:35:41, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	6.23455025, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:35:56, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	6.23455025, 	0.346821%, 	0.240000%, 	0.106821%
