2020-04-10 10:55:20, 	Poloniex    , 	OKEX        , 	KNC/BTC, 	6.75e-05, 	1.615824, 	6.73e-05, 	409.6, 	0.297177%, 	0.240000%, 	0.057177%
2020-04-10 10:55:35, 	Poloniex    , 	OKEX        , 	KNC/BTC, 	6.75e-05, 	1.615824, 	6.73e-05, 	409.6, 	0.297177%, 	0.240000%, 	0.057177%
2020-04-10 10:55:51, 	Poloniex    , 	OKEX        , 	KNC/BTC, 	6.75e-05, 	1.615824, 	6.73e-05, 	37.0, 	0.297177%, 	0.240000%, 	0.057177%
2020-04-10 10:56:06, 	Poloniex    , 	OKEX        , 	KNC/BTC, 	6.75e-05, 	1.615824, 	6.74e-05, 	7303.738, 	0.148368%, 	0.240000%, 	-0.091632%
2020-04-11 15:30:56, 	Poloniex    , 	OKEX        , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.03e-05, 	602.193, 	0.270270%, 	0.240000%, 	0.030270%
2020-04-11 15:31:11, 	Poloniex    , 	OKEX        , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7e-05, 	595.972, 	0.700000%, 	0.240000%, 	0.460000%
2020-04-11 15:31:26, 	Poloniex    , 	OKEX        , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.03e-05, 	602.193, 	0.270270%, 	0.240000%, 	0.030270%
2020-04-11 15:31:41, 	Poloniex    , 	OKEX        , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.02e-05, 	498.552, 	0.413105%, 	0.240000%, 	0.173105%
2020-04-11 15:31:56, 	Poloniex    , 	OKEX        , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.01e-05, 	1096.752, 	0.556348%, 	0.240000%, 	0.316348%
2020-04-11 15:32:11, 	Poloniex    , 	OKEX        , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.01e-05, 	1101.772, 	0.556348%, 	0.240000%, 	0.316348%
2020-04-11 15:32:26, 	Poloniex    , 	OKEX        , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.99e-05, 	593.564, 	0.844063%, 	0.240000%, 	0.604063%
2020-04-11 15:32:41, 	Poloniex    , 	OKEX        , 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.03e-05, 	602.193, 	0.270270%, 	0.240000%, 	0.030270%
