2020-04-09 13:44:17, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.32e-06, 	0.32596954, 	2.313e-06, 	400.0, 	0.302637%, 	0.240000%, 	0.062637%
2020-04-09 13:44:32, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.32e-06, 	0.32596954, 	2.313e-06, 	400.0, 	0.302637%, 	0.240000%, 	0.062637%
2020-04-09 13:44:47, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.32e-06, 	0.32596954, 	2.313e-06, 	400.0, 	0.302637%, 	0.240000%, 	0.062637%
2020-04-09 13:45:02, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.32e-06, 	0.32596954, 	2.313e-06, 	400.0, 	0.302637%, 	0.240000%, 	0.062637%
2020-04-09 13:45:17, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.32e-06, 	0.32596954, 	2.313e-06, 	400.0, 	0.302637%, 	0.240000%, 	0.062637%
2020-04-09 13:45:32, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.32e-06, 	0.32596954, 	2.313e-06, 	400.0, 	0.302637%, 	0.240000%, 	0.062637%
2020-04-09 13:45:47, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.32e-06, 	0.32596954, 	2.313e-06, 	400.0, 	0.302637%, 	0.240000%, 	0.062637%
2020-04-09 13:46:02, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.32e-06, 	0.32596954, 	2.313e-06, 	400.0, 	0.302637%, 	0.240000%, 	0.062637%
2020-04-09 13:46:17, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.32e-06, 	0.32596954, 	2.313e-06, 	400.0, 	0.302637%, 	0.240000%, 	0.062637%
2020-04-09 13:46:32, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.32e-06, 	0.32596954, 	2.313e-06, 	400.0, 	0.302637%, 	0.240000%, 	0.062637%
2020-04-09 13:46:47, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.32e-06, 	0.32596954, 	2.313e-06, 	400.0, 	0.302637%, 	0.240000%, 	0.062637%
2020-04-09 13:47:02, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.32e-06, 	0.32596954, 	2.313e-06, 	400.0, 	0.302637%, 	0.240000%, 	0.062637%
2020-04-09 13:47:17, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.32e-06, 	0.32596954, 	2.313e-06, 	400.0, 	0.302637%, 	0.240000%, 	0.062637%
2020-04-09 13:47:32, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.32e-06, 	0.32596954, 	2.313e-06, 	400.0, 	0.302637%, 	0.240000%, 	0.062637%
2020-04-09 13:47:47, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.32e-06, 	0.32596954, 	2.313e-06, 	400.0, 	0.302637%, 	0.240000%, 	0.062637%
2020-04-09 13:48:02, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.32e-06, 	0.32596954, 	2.313e-06, 	400.0, 	0.302637%, 	0.240000%, 	0.062637%
2020-04-09 13:48:17, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.32e-06, 	0.32596954, 	2.313e-06, 	400.0, 	0.302637%, 	0.240000%, 	0.062637%
