2020-04-06 18:17:24 ,391 INFO ,   OPPORTUNITY ,Coinbase Pro ,Bittrex      ,ETH/EUR   ,151.83       ,4.94961471       ,150.0         ,0.01              ,1.220000%   ,0.750000% ,0.470000%
2020-04-06 18:18:39 ,628 INFO ,   OPPORTUNITY ,Binance      ,Bittrex      ,ETH/EUR   ,151.3        ,3.87107804       ,150.0         ,0.02323349        ,0.866667%   ,0.350000% ,0.516667%
2020-04-06 18:18:41 ,482 INFO ,   OPPORTUNITY ,Kraken       ,OKEX         ,XMR/BTC   ,0.008057     ,30.44            ,0.007844      ,17.18             ,2.715451%   ,0.410000% ,2.305451%
2020-04-06 18:19:29 ,239 INFO ,   OPPORTUNITY ,Bittrex      ,OKEX         ,XMR/ETH   ,0.352        ,0.07288872       ,0.346         ,0.54030928        ,1.734104%   ,0.400000% ,1.334104%
2020-04-06 18:19:44 ,000 INFO ,   OPPORTUNITY ,Coinbase Pro ,Bittrex      ,ETH/EUR   ,151.76       ,20.5             ,150.0         ,2.94596672        ,1.173333%   ,0.750000% ,0.423333%
2020-04-06 18:20:24 ,828 INFO ,   OPPORTUNITY ,Bittrex      ,OKEX         ,XMR/USDT  ,57.49334108  ,55.6889849       ,56.1          ,95.32429          ,2.483674%   ,0.400000% ,2.083674%
2020-04-06 18:21:03 ,924 INFO ,   OPPORTUNITY ,Kraken       ,Bitfinex     ,ETH/GBP   ,133.7        ,0.02041627       ,133.05        ,43.34372452       ,0.488538%   ,0.460000% ,0.028538%
2020-04-06 18:21:09 ,238 INFO ,   OPPORTUNITY ,Binance      ,OKEX         ,XMR/ETH   ,0.35244      ,1.245            ,0.346         ,1.245             ,1.861272%   ,0.250000% ,1.611272%
2020-04-06 18:21:20 ,638 INFO ,   OPPORTUNITY ,OKEX         ,Bittrex      ,NXT/BTC   ,1.55e-06     ,13368.88892356   ,1.32e-06      ,17984.44154243    ,17.424242%  ,0.400000% ,17.024242%
2020-04-06 18:22:21 ,747 INFO ,   OPPORTUNITY ,Kraken       ,OKEX         ,XMR/BTC   ,0.008043     ,67.442           ,0.007844      ,43.414            ,2.536971%   ,0.410000% ,2.126971%
2020-04-06 18:23:25 ,259 INFO ,   OPPORTUNITY ,Kraken       ,Bittrex      ,ETH/EUR   ,152.66       ,3.86600498       ,150.0         ,0.02323349        ,1.773333%   ,0.510000% ,1.263333%
2020-04-06 18:23:57 ,632 INFO ,   OPPORTUNITY ,Bitfinex     ,Bittrex      ,ETH/EUR   ,152.56       ,1.023            ,150.0         ,0.02323349        ,1.706667%   ,0.450000% ,1.256667%
2020-04-06 18:24:07 ,045 INFO ,   OPPORTUNITY ,OKEX         ,Bittrex      ,CVT/BTC   ,3.433e-06    ,31377.50591859   ,1.84e-06      ,30091.16104896    ,86.576087%  ,0.400000% ,86.176087%
2020-04-06 18:24:17 ,543 INFO ,   OPPORTUNITY ,OKEX         ,Bittrex      ,BSV/USDT  ,194.43       ,5.47837496       ,193.3692175   ,4.412e-05         ,0.548579%   ,0.400000% ,0.148579%
